task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,3378,337.8,15.138,13.162,24.175,29.569
gestureclass,no_sharing,3454,345.4,15.114,13.155,23.829,27.361
