model_name,dataset_name,device,num_samples,accuracy,total_inference_time_sec,average_latency_ms,model_load_duration_sec,gpu_load_memory_mb,avg_cpu_usage_percent,avg_cpu_memory_usage_mb,avg_gpu_usage_percent,avg_gpu_memory_usage_mb
chronos_tiny,Hourly,NVIDIA A100-SXM4-80GB,100,0.7055739760398865,121.15776718081906,0.1310314107406884,1.1192769720219076,535.5625,4.639000000000001,628.25,2.49,82.0
chronos_mini,Hourly,NVIDIA A100-SXM4-80GB,100,0.6812196969985962,119.11029562796466,0.1115313198743388,1.133244179887697,565.5625,4.632999999999999,646.1875,2.53,142.0
chronos_small,Hourly,NVIDIA A100-SXM4-80GB,100,0.6772223114967346,121.6964585222304,0.1388499708124436,3.275190040934831,635.5625,4.637000000000001,668.40375,5.5,148.0
chronos_base,Hourly,NVIDIA A100-SXM4-80GB,100,0.6941186785697937,130.12092459690757,0.2221078838943503,3.6729224750306457,901.5625,4.635,645.75,21.05,496.0
chronos_large,Hourly,NVIDIA A100-SXM4-80GB,100,0.6696540117263794,148.5185779479798,0.4070161653356626,17.160163729917258,1875.5625,4.642,648.36625,72.24,1252.0
Moirai_Small,Hourly,NVIDIA A100-SXM4-80GB,100,0.8592962622642517,122.8707601078786,0.1415820985008031,0.8781511089764535,485.5625,4.637000000000001,503.2475,3.59,112.0
Moirai_Base,Hourly,NVIDIA A100-SXM4-80GB,100,0.9524244666099548,130.65715610794723,0.191215356378816,3.742637343006209,801.5625,4.742000000000002,314.2475,12.2,112.0
Moirai_Large,Hourly,NVIDIA A100-SXM4-80GB,100,0.7816744446754456,146.8329555010423,0.3147036209562793,7.6824443731456995,1711.5625,4.621000000000003,161.0,33.85,112.0
chronos_tiny,Hourly,NVIDIA A100-SXM4-80GB,100,0.7254087924957275,118.6742246360518,0.1091046606167219,0.4946285751648247,535.5625,2.7819999999999983,641.375,1.67,82.0
chronos_mini,Hourly,NVIDIA A100-SXM4-80GB,100,0.6826170086860657,118.89170014602132,0.1107677411427721,0.5780839629005641,565.5625,2.6769999999999965,674.3275,2.34,142.0
chronos_small,Hourly,NVIDIA A100-SXM4-80GB,100,0.6955054402351379,121.62017290713266,0.1369767443742603,0.635199231095612,635.5625,3.3000000000000025,647.955,5.2,148.0
chronos_base,Hourly,NVIDIA A100-SXM4-80GB,100,0.7028534412384033,130.38327644392848,0.2245681509235874,0.7468508312013,901.5625,3.629000000000004,658.95375,21.2,496.0
chronos_large,Hourly,NVIDIA A100-SXM4-80GB,100,0.7854475975036621,147.8733031549491,0.4011044156202115,1.2994368830695748,1875.5625,3.595000000000001,646.0475,72.22,1252.0
Moirai_Small,Hourly,NVIDIA A100-SXM4-80GB,100,0.8634567260742188,121.3496647279244,0.1326169239613227,0.4220989460591227,485.5625,3.6200000000000014,502.3725,4.33,112.0
Moirai_Base,Hourly,NVIDIA A100-SXM4-80GB,100,0.9402803778648376,128.13729272200726,0.1932020136155188,0.9515233850106596,801.5625,3.618000000000003,315.9975,13.17,112.0
Moirai_Large,Hourly,NVIDIA A100-SXM4-80GB,100,0.7918407320976257,140.86948580411263,0.3071710577816702,2.441698283189908,1711.5625,3.625000000000002,162.75,33.58,112.0
chronos_tiny,Hourly,NVIDIA A100-SXM4-80GB,100,0.7074143290519714,118.86918371613136,0.1091294900421053,0.6338825491257012,535.5625,3.6310000000000016,661.49125,2.02,82.0
chronos_mini,Hourly,NVIDIA A100-SXM4-80GB,100,0.6821311116218567,118.71231018006802,0.1091207672655582,0.4724744078703224,565.5625,3.632000000000003,656.69625,2.51,142.0
chronos_small,Hourly,NVIDIA A100-SXM4-80GB,100,0.6855636835098267,121.52582163200714,0.1372539456142112,0.51000892277807,635.5625,3.629000000000002,646.61625,6.07,148.0
chronos_base,Hourly,NVIDIA A100-SXM4-80GB,100,0.6932861804962158,129.88582714810036,0.220680154019501,0.7263347108382732,901.5625,3.636000000000004,666.09375,24.7,496.0
chronos_large,Hourly,NVIDIA A100-SXM4-80GB,100,0.672614574432373,147.8561058738269,0.4012083538272418,1.381813646061346,1875.5625,3.631000000000003,645.1025,71.72,1252.0
Moirai_Small,Hourly,NVIDIA A100-SXM4-80GB,100,0.8489539623260498,121.49885438708588,0.1336577791906893,0.4236367349512875,485.5625,3.628000000000003,502.3725,4.03,112.0
Moirai_Base,Hourly,NVIDIA A100-SXM4-80GB,100,0.977241039276123,128.0969253689982,0.1946781172789633,0.9481977510731668,801.5625,3.632000000000003,312.54125,11.68,112.0
Moirai_Large,Hourly,NVIDIA A100-SXM4-80GB,100,0.784271240234375,141.08917864388786,0.31020030663348735,2.4365457959938794,1711.5625,3.629000000000003,162.75,32.48,112.0
