task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,330,6.0,166.507,166.433,168.614,172.607
ecgclass__app1,1,330,6.0,166.538,166.464,170.01,171.325
ecgclass__app2,0,330,6.0,166.537,166.386,169.743,172.273
ecgclass__app3,0,330,6.0,166.534,166.602,169.799,171.657
ecgclass__app4,0,330,6.0,166.536,166.466,169.829,172.162
ecgclass__app5,0,330,6.0,166.536,166.549,169.647,172.887
ecgclass__app6,0,330,6.0,166.54,166.665,169.494,172.471
ecgclass__app7,0,330,6.0,166.543,166.5,170.277,171.756
ecgclass__app8,0,330,6.0,166.54,166.531,170.031,171.458
ecgclass__app9,0,330,6.0,166.535,166.375,169.699,172.094
