task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,382.648,378.694,0,1
ecgclass__app2,0.0005,515.306,153.249,0,0
ecgclass__app1,0.0004,516.035,153.571,0,1
ecgclass__app6,0.0007,516.203,154.470,0,0
ecgclass__app3,0.0005,517.009,154.959,0,0
ecgclass__app4,0.0006,517.321,155.283,0,0
ecgclass__app7,0.0008,517.390,155.410,0,0
ecgclass__app5,0.0007,518.042,156.261,0,0
ecgclass__app9,0.0022,516.816,156.459,0,0
ecgclass__app8,0.0021,517.242,156.900,0,0
ecgclass,0.3829,167.153,40.715,0,1
ecgclass__app5,0.5187,160.918,135.338,0,0
ecgclass__app3,0.5176,163.388,136.355,0,0
ecgclass__app6,0.5169,164.280,136.464,0,0
ecgclass__app4,0.5179,163.393,136.517,0,0
ecgclass__app7,0.5182,163.523,136.811,0,0
ecgclass__app1,0.5164,165.380,136.838,0,1
ecgclass__app9,0.5190,162.925,137.267,0,0
ecgclass__app8,0.5193,162.880,137.641,0,0
ecgclass__app2,0.5158,166.655,138.087,0,0
ecgclass,0.5500,163.736,41.485,0,1
ecgclass__app2,0.6825,160.808,134.926,0,0
ecgclass__app4,0.6813,162.620,135.392,0,0
ecgclass__app9,0.6820,162.089,135.692,0,0
ecgclass__app1,0.6818,163.075,136.118,0,1
ecgclass__app7,0.6817,163.245,136.219,0,0
ecgclass__app6,0.6812,163.963,136.292,0,0
ecgclass__app8,0.6822,163.276,136.395,0,0
ecgclass__app5,0.6797,165.934,136.482,0,0
ecgclass__app3,0.6810,164.676,136.629,0,0
ecgclass,0.7138,163.608,42.660,0,1
ecgclass__app6,0.8452,162.647,136.294,0,0
ecgclass__app9,0.8441,164.987,137.236,0,0
ecgclass__app2,0.8433,166.202,137.682,0,0
ecgclass__app8,0.8455,164.044,137.715,0,0
ecgclass__app1,0.8449,165.010,137.936,0,1
ecgclass__app3,0.8456,164.337,138.026,0,0
ecgclass__app5,0.8456,164.639,138.111,0,0
ecgclass__app4,0.8440,166.590,138.783,0,0
ecgclass__app7,0.8450,165.891,139.243,0,0
ecgclass,0.8774,164.887,42.057,0,1
ecgclass__app7,1.0109,163.767,138.274,0,0
ecgclass__app5,1.0102,165.117,138.586,0,0
ecgclass__app2,1.0095,165.987,138.696,0,0
ecgclass__app4,1.0106,165.293,138.975,0,0
ecgclass__app9,1.0091,166.868,139.096,0,0
ecgclass__app1,1.0099,166.374,139.478,0,1
ecgclass__app6,1.0079,168.472,139.554,0,0
ecgclass__app3,1.0100,167.358,140.975,0,0
ecgclass__app8,1.0096,168.065,141.261,0,0
ecgclass,1.0423,166.214,42.758,0,1
ecgclass__app2,1.1755,164.123,136.983,0,0
ecgclass__app3,1.1774,162.646,137.607,0,0
ecgclass__app1,1.1763,164.524,138.010,0,1
ecgclass__app9,1.1760,164.966,138.135,0,0
ecgclass__app8,1.1777,163.678,138.297,0,0
ecgclass__app6,1.1764,165.331,138.711,0,0
ecgclass__app4,1.1759,165.912,138.784,0,0
ecgclass__app7,1.1747,168.559,140.809,0,0
ecgclass__app5,1.1754,168.190,141.126,0,0
ecgclass,1.2086,165.097,41.911,0,1
ecgclass__app9,1.3409,162.390,135.226,0,0
ecgclass__app3,1.3400,164.140,136.087,0,0
ecgclass__app4,1.3418,163.105,136.827,0,0
ecgclass__app7,1.3432,162.643,137.950,0,0
ecgclass__app1,1.3408,165.847,138.463,0,1
ecgclass__app2,1.3396,167.115,138.562,0,0
ecgclass__app5,1.3436,163.477,138.642,0,0
ecgclass__app6,1.3417,165.599,139.251,0,0
ecgclass__app8,1.3413,166.228,139.433,0,0
ecgclass,1.3737,164.730,41.864,0,1
ecgclass__app4,1.5049,165.323,137.398,0,0
ecgclass__app1,1.5067,165.365,138.907,0,1
ecgclass__app9,1.5033,168.815,139.000,0,0
ecgclass__app6,1.5073,165.166,139.099,0,0
ecgclass__app3,1.5042,168.743,139.207,0,0
ecgclass__app5,1.5071,165.932,139.287,0,0
ecgclass__app2,1.5068,166.316,139.327,0,0
ecgclass__app8,1.5076,165.562,139.353,0,0
ecgclass__app7,1.5059,167.655,140.687,0,0
ecgclass,1.5384,165.828,42.790,0,1
ecgclass__app3,1.6729,163.799,137.739,0,0
ecgclass__app2,1.6731,163.793,137.813,0,0
ecgclass__app4,1.6703,167.000,138.640,0,0
ecgclass__app7,1.6736,163.943,138.916,0,0
ecgclass__app1,1.6721,165.781,139.367,0,1
ecgclass__app8,1.6731,165.635,140.301,0,0
ecgclass__app6,1.6725,167.013,140.869,0,0
ecgclass__app5,1.6730,166.800,141.161,0,0
ecgclass__app9,1.6722,168.377,142.155,0,0
ecgclass,1.7043,166.776,42.049,0,1
ecgclass__app3,1.8367,164.213,135.355,0,0
ecgclass__app1,1.8379,163.237,135.533,0,1
ecgclass__app9,1.8406,160.926,136.098,0,0
ecgclass__app8,1.8388,162.987,136.198,0,0
ecgclass__app6,1.8395,162.472,136.265,0,0
ecgclass__app4,1.8373,164.954,136.726,0,0
ecgclass__app5,1.8398,162.696,137.054,0,0
ecgclass__app7,1.8375,165.751,138.039,0,0
ecgclass__app2,1.8369,166.627,138.223,0,0
ecgclass,1.8711,164.346,41.916,0,1
ecgclass__app3,2.0010,164.918,135.789,0,0
ecgclass__app6,2.0020,164.807,137.187,0,0
ecgclass__app4,2.0023,164.900,137.508,0,0
ecgclass__app8,2.0018,166.223,138.271,0,0
ecgclass__app2,2.0035,164.577,138.369,0,0
ecgclass__app1,2.0011,167.268,138.699,0,1
ecgclass__app7,2.0033,165.817,139.511,0,0
ecgclass__app5,2.0025,166.856,139.813,0,0
ecgclass__app9,2.0015,167.967,139.883,0,0
ecgclass,2.0354,164.850,42.269,0,1
ecgclass__app6,2.1668,162.699,134.802,0,0
ecgclass__app2,2.1681,161.985,135.390,0,0
ecgclass__app7,2.1691,161.314,135.563,0,0
ecgclass__app3,2.1659,166.053,137.122,0,0
ecgclass__app5,2.1694,163.220,137.707,0,0
ecgclass__app8,2.1680,164.973,137.977,0,0
ecgclass__app1,2.1684,164.689,138.006,0,1
ecgclass__app9,2.1695,163.639,138.060,0,0
ecgclass__app4,2.1672,166.185,138.156,0,0
ecgclass,2.2003,163.445,41.608,0,1
ecgclass__app6,2.3295,164.486,135.339,0,0
ecgclass__app5,2.3326,161.707,135.537,0,0
ecgclass__app2,2.3301,164.917,136.540,0,0
ecgclass__app3,2.3320,163.373,136.613,0,0
ecgclass__app7,2.3304,164.998,136.690,0,0
ecgclass__app1,2.3331,162.583,136.709,0,1
ecgclass__app4,2.3334,162.370,136.843,0,0
ecgclass__app8,2.3330,163.029,137.065,0,0
ecgclass__app9,2.3331,162.988,137.632,0,0
ecgclass,2.3637,163.249,41.321,0,1
ecgclass__app8,2.4960,162.582,137.014,0,0
ecgclass__app4,2.4957,164.478,138.413,0,0
ecgclass__app1,2.4957,165.148,139.435,0,1
ecgclass__app2,2.4950,165.889,139.564,0,0
ecgclass__app6,2.4940,167.649,140.410,0,0
ecgclass__app7,2.4954,166.506,140.444,0,0
ecgclass__app9,2.4961,166.080,140.570,0,0
ecgclass__app3,2.4954,166.921,140.613,0,0
ecgclass__app5,2.4943,168.825,142.099,0,0
ecgclass,2.5270,166.395,42.864,0,1
ecgclass__app1,2.6608,164.022,136.746,0,1
ecgclass__app3,2.6623,163.529,137.350,0,0
ecgclass__app6,2.6617,164.223,137.486,0,0
ecgclass__app2,2.6609,165.448,137.648,0,0
ecgclass__app7,2.6620,164.501,137.779,0,0
ecgclass__app4,2.6602,166.276,137.851,0,0
ecgclass__app9,2.6622,164.351,137.900,0,0
ecgclass__app8,2.6587,168.147,138.183,0,0
ecgclass__app5,2.6632,163.902,139.371,0,0
ecgclass,2.6934,163.930,41.047,0,1
ecgclass__app4,2.8265,161.795,136.527,0,0
ecgclass__app3,2.8258,163.322,137.091,0,0
ecgclass__app6,2.8259,163.476,137.180,0,0
ecgclass__app2,2.8264,163.273,137.289,0,0
ecgclass__app1,2.8249,164.872,137.377,0,1
ecgclass__app7,2.8265,163.578,138.112,0,0
ecgclass__app5,2.8271,163.223,138.282,0,0
ecgclass__app9,2.8266,163.815,138.331,0,0
ecgclass__app8,2.8268,163.807,138.473,0,0
ecgclass,2.8574,164.191,42.030,0,1
ecgclass__app9,2.9904,163.216,137.194,0,0
ecgclass__app6,2.9894,164.308,137.373,0,0
ecgclass__app3,2.9892,164.659,137.403,0,0
ecgclass__app5,2.9903,164.096,138.399,0,0
ecgclass__app7,2.9901,164.598,138.450,0,0
ecgclass__app2,2.9897,165.157,138.625,0,0
ecgclass__app1,2.9897,165.463,139.545,0,1
ecgclass__app4,2.9883,167.182,139.731,0,0
ecgclass__app8,2.9906,166.136,141.262,0,0
ecgclass,3.0216,165.314,41.725,0,1
ecgclass__app7,3.1547,162.806,136.136,0,0
ecgclass__app4,3.1555,162.776,136.712,0,0
ecgclass__app3,3.1538,164.929,137.147,0,0
ecgclass__app2,3.1548,165.113,138.240,0,0
ecgclass__app5,3.1544,165.583,138.412,0,0
ecgclass__app8,3.1568,163.541,138.829,0,0
ecgclass__app1,3.1552,166.125,140.064,0,1
ecgclass__app9,3.1536,167.803,140.091,0,0
ecgclass__app6,3.1538,167.939,140.299,0,0
ecgclass,3.1869,164.937,42.068,0,1
ecgclass__app2,3.3200,161.185,134.836,0,0
ecgclass__app6,3.3217,160.304,135.308,0,0
ecgclass__app1,3.3214,160.761,135.428,0,1
ecgclass__app9,3.3214,160.889,135.457,0,0
ecgclass__app7,3.3175,165.138,135.604,0,0
ecgclass__app4,3.3183,164.398,135.629,0,0
ecgclass__app5,3.3200,162.741,135.790,0,0
ecgclass__app3,3.3188,164.477,136.952,0,0
ecgclass__app8,3.3203,163.935,138.152,0,0
ecgclass,3.3519,163.200,43.026,0,1
ecgclass__app3,3.4833,163.025,136.684,0,0
ecgclass__app6,3.4820,165.617,137.143,0,0
ecgclass__app7,3.4826,165.103,137.392,0,0
ecgclass__app5,3.4828,165.186,137.761,0,0
ecgclass__app2,3.4812,166.966,137.834,0,0
ecgclass__app4,3.4827,165.673,138.146,0,0
ecgclass__app9,3.4823,166.146,138.686,0,0
ecgclass__app8,3.4843,164.513,139.020,0,0
ecgclass__app1,3.4821,167.272,139.935,0,1
ecgclass,3.5151,164.844,41.181,0,1
ecgclass__app3,3.6463,165.049,136.363,0,0
ecgclass__app2,3.6481,163.389,136.559,0,0
ecgclass__app1,3.6494,162.550,137.292,0,1
ecgclass__app5,3.6480,164.187,137.336,0,0
ecgclass__app4,3.6484,163.994,137.501,0,0
ecgclass__app6,3.6477,165.045,137.909,0,0
ecgclass__app7,3.6478,165.025,138.025,0,0
ecgclass__app9,3.6485,165.748,139.885,0,0
ecgclass__app8,3.6488,165.665,139.954,0,0
ecgclass,3.6800,164.361,42.505,0,1
ecgclass__app8,3.8145,161.611,136.926,0,0
ecgclass__app9,3.8143,161.977,136.967,0,0
ecgclass__app4,3.8124,164.103,137.044,0,0
ecgclass__app7,3.8128,164.280,137.798,0,0
ecgclass__app1,3.8120,165.576,137.984,0,1
ecgclass__app6,3.8127,164.929,138.073,0,0
ecgclass__app2,3.8115,166.416,138.205,0,0
ecgclass__app3,3.8114,166.791,138.229,0,0
ecgclass__app5,3.8122,166.841,140.169,0,0
ecgclass,3.8443,165.306,42.147,0,1
ecgclass__app7,3.9771,161.593,134.528,0,0
ecgclass__app3,3.9782,161.916,135.287,0,0
ecgclass__app5,3.9790,161.173,135.384,0,0
ecgclass__app1,3.9776,162.885,135.572,0,1
ecgclass__app8,3.9761,164.667,135.665,0,0
ecgclass__app9,3.9762,164.610,135.725,0,0
ecgclass__app4,3.9765,164.360,135.825,0,0
ecgclass__app2,3.9780,163.202,136.020,0,0
ecgclass__app6,3.9777,163.919,137.617,0,0
ecgclass,4.0097,161.914,40.369,0,1
ecgclass__app2,4.1412,160.760,135.652,0,0
ecgclass__app1,4.1405,162.230,136.477,0,1
ecgclass__app8,4.1408,162.202,136.568,0,0
ecgclass__app3,4.1401,162.980,136.705,0,0
ecgclass__app7,4.1387,166.190,138.410,0,0
ecgclass__app4,4.1409,164.073,138.628,0,0
ecgclass__app5,4.1402,165.056,138.710,0,0
ecgclass__app9,4.1409,164.611,138.902,0,0
ecgclass__app6,4.1416,163.963,138.931,0,0
ecgclass,4.1716,164.535,40.168,0,1
ecgclass__app1,4.3027,163.366,135.227,0,1
ecgclass__app5,4.3053,161.844,136.092,0,0
ecgclass__app7,4.3049,162.335,136.375,0,0
ecgclass__app6,4.3056,161.958,136.600,0,0
ecgclass__app3,4.3031,164.865,137.278,0,0
ecgclass__app9,4.3055,162.751,137.551,0,0
ecgclass__app2,4.3020,166.338,137.711,0,0
ecgclass__app8,4.3030,166.055,138.575,0,0
ecgclass__app4,4.3050,165.332,140.039,0,0
ecgclass,4.3361,163.713,41.166,0,1
ecgclass__app8,4.4691,160.558,135.269,0,0
ecgclass__app6,4.4675,163.678,135.596,0,0
ecgclass__app7,4.4672,164.398,136.412,0,0
ecgclass__app2,4.4683,163.415,136.538,0,0
ecgclass__app1,4.4661,165.868,136.856,0,1
ecgclass__app4,4.4703,161.839,136.930,0,0
ecgclass__app9,4.4682,164.123,136.991,0,0
ecgclass__app5,4.4671,165.401,137.046,0,0
ecgclass__app3,4.4680,164.629,137.067,0,0
ecgclass,4.4999,163.167,41.271,0,1
ecgclass__app9,4.6324,161.724,136.580,0,0
ecgclass__app8,4.6296,165.326,137.233,0,0
ecgclass__app5,4.6325,162.711,137.314,0,0
ecgclass__app4,4.6322,163.167,137.405,0,0
ecgclass__app1,4.6320,163.714,137.665,0,1
ecgclass__app6,4.6312,164.690,138.158,0,0
ecgclass__app3,4.6326,163.501,138.185,0,0
ecgclass__app7,4.6316,165.537,139.748,0,0
ecgclass__app2,4.6317,165.728,139.893,0,0
ecgclass,4.6631,164.802,41.834,0,1
ecgclass__app9,4.7941,165.756,137.247,0,0
ecgclass__app6,4.7959,164.110,137.473,0,0
ecgclass__app1,4.7957,164.604,137.587,0,1
ecgclass__app2,4.7975,163.133,138.462,0,0
ecgclass__app7,4.7972,163.585,138.492,0,0
ecgclass__app5,4.7953,165.969,139.076,0,0
ecgclass__app4,4.7953,166.222,139.304,0,0
ecgclass__app3,4.7961,166.128,140.144,0,0
ecgclass__app8,4.7950,167.788,140.733,0,0
ecgclass,4.8279,165.487,41.826,0,1
ecgclass__app7,4.9608,164.789,137.840,0,0
ecgclass__app2,4.9606,165.736,138.096,0,0
ecgclass__app8,4.9628,163.894,138.552,0,0
