task,send_time_s,latency_ms
gestureclass,0.0002,369.762
gestureclass,0.0117,437.614
gestureclass,0.0351,414.189
gestureclass,0.0475,401.834
gestureclass,0.0522,477.289
gestureclass,0.0523,477.354
gestureclass,0.0837,445.970
gestureclass,0.0851,534.856
gestureclass,0.0894,530.556
gestureclass,0.1080,511.957
gestureclass,0.1145,595.760
gestureclass,0.1269,583.430
gestureclass,0.1393,571.028
gestureclass,0.1407,660.065
gestureclass,0.1846,616.176
gestureclass,0.2654,535.323
gestureclass,0.2786,611.950
gestureclass,0.2870,603.624
gestureclass,0.3332,557.392
gestureclass,0.3436,636.441
gestureclass,0.3625,617.617
gestureclass,0.4046,575.509
gestureclass,0.4133,656.206
gestureclass,0.4517,617.818
gestureclass,0.4743,595.278
gestureclass,0.4954,664.536
gestureclass,0.5297,630.264
gestureclass,0.5310,629.027
gestureclass,0.5376,711.559
gestureclass,0.5421,707.047
gestureclass,0.5490,700.119
gestureclass,0.5573,782.683
gestureclass,0.5621,777.932
gestureclass,0.5749,765.140
gestureclass,0.5812,849.497
gestureclass,0.5925,838.227
gestureclass,0.6061,824.646
gestureclass,0.6108,910.950
gestureclass,0.6303,891.392
gestureclass,0.6545,867.256
gestureclass,0.6857,925.842
gestureclass,0.6900,921.625
gestureclass,0.7098,901.898
gestureclass,0.7369,964.689
gestureclass,0.7382,963.337
gestureclass,0.7500,951.597
gestureclass,0.7693,1021.240
gestureclass,0.7751,1015.535
gestureclass,0.8109,979.697
gestureclass,0.8377,1044.106
gestureclass,0.8409,1040.856
gestureclass,0.8530,1028.813
gestureclass,0.9198,1051.715
gestureclass,0.9364,1035.088
gestureclass,0.9642,1007.316
gestureclass,1.0142,1048.719
gestureclass,1.0256,1037.264
gestureclass,1.0281,1034.859
gestureclass,1.0325,1120.428
gestureclass,1.0463,1106.594
gestureclass,1.0578,1095.153
gestureclass,1.0737,1169.796
gestureclass,1.1011,1142.508
gestureclass,1.1310,1112.564
gestureclass,1.1525,1181.291
gestureclass,1.2101,1123.684
gestureclass,1.2818,1051.989
gestureclass,1.3080,1116.729
gestureclass,1.3464,1078.334
gestureclass,1.3567,1068.074
gestureclass,1.3600,1154.757
gestureclass,1.3763,1138.477
gestureclass,1.4288,1085.983
gestureclass,1.4319,1173.133
gestureclass,1.4403,1164.774
gestureclass,1.4599,1145.234
gestureclass,1.4714,1225.221
gestureclass,1.4729,1223.801
gestureclass,1.5563,1140.409
gestureclass,1.5709,1215.835
gestureclass,1.5777,1209.119
gestureclass,1.5882,1198.659
gestureclass,1.5882,1288.929
gestureclass,1.6036,1273.586
gestureclass,1.6364,1240.847
gestureclass,1.6525,1315.488
gestureclass,1.6828,1285.236
gestureclass,1.6964,1271.646
gestureclass,1.7254,1335.414
gestureclass,1.7398,1321.088
gestureclass,1.7607,1300.236
gestureclass,1.7988,1353.019
gestureclass,1.8859,1265.920
gestureclass,1.8973,1254.648
gestureclass,1.9664,1275.836
gestureclass,1.9678,1274.479
gestureclass,1.9860,1256.276
gestureclass,2.0005,1331.941
gestureclass,2.0176,1314.894
gestureclass,2.0544,1278.106
gestureclass,2.0642,1358.357
gestureclass,2.1480,1274.505
gestureclass,2.1641,1258.460
gestureclass,2.1931,1320.575
gestureclass,2.2119,1301.908
gestureclass,2.2267,1287.127
gestureclass,2.2381,1366.363
gestureclass,2.2382,1366.292
gestureclass,2.3168,1287.732
gestureclass,2.3379,1356.206
gestureclass,2.3931,1301.048
gestureclass,2.4748,1219.317
gestureclass,2.5060,1278.520
gestureclass,2.5143,1270.178
gestureclass,2.5270,1257.521
gestureclass,2.5285,1346.570
gestureclass,2.5760,1299.135
gestureclass,2.5994,1275.738
gestureclass,2.6550,1310.802
gestureclass,2.7028,1262.952
gestureclass,2.7042,1261.566
gestureclass,2.7398,1316.135
gestureclass,2.7422,1313.714
gestureclass,2.7435,1312.469
gestureclass,2.7663,1379.169
gestureclass,2.7784,1367.098
gestureclass,2.8104,1335.203
gestureclass,2.8757,1359.980
gestureclass,2.8874,1348.325
gestureclass,2.9048,1330.960
gestureclass,2.9049,1420.797
gestureclass,2.9093,1416.413
gestureclass,2.9327,1392.972
gestureclass,2.9328,1482.950
gestureclass,2.9539,1461.930
gestureclass,2.9733,1442.514
gestureclass,2.9748,1530.573
gestureclass,3.0269,1478.460
gestureclass,3.0563,1449.055
gestureclass,3.1042,1492.541
gestureclass,3.1075,1489.295
gestureclass,3.1356,1461.187
gestureclass,3.1439,1543.075
gestureclass,3.2055,1481.531
gestureclass,3.2183,1468.686
gestureclass,3.2378,1539.514
gestureclass,3.2444,1532.975
gestureclass,3.2566,1520.739
gestureclass,3.2842,1583.618
gestureclass,3.3059,1561.989
gestureclass,3.3060,1561.928
gestureclass,3.3073,1652.100
gestureclass,3.3191,1640.342
gestureclass,3.3489,1610.503
gestureclass,3.3681,1681.428
gestureclass,3.3724,1677.181
gestureclass,3.4040,1645.584
gestureclass,3.4718,1668.164
gestureclass,3.4803,1659.755
gestureclass,3.4948,1645.449
gestureclass,3.5053,1724.510
gestureclass,3.5117,1718.161
gestureclass,3.5200,1709.917
gestureclass,3.5274,1792.700
gestureclass,3.5318,1788.325
gestureclass,3.5332,1786.973
gestureclass,3.5395,1871.283
gestureclass,3.5825,1828.392
gestureclass,3.5908,1820.075
gestureclass,3.5964,1904.880
gestureclass,3.6274,1873.869
gestureclass,3.6379,1863.429
gestureclass,3.6661,1925.060
gestureclass,3.6892,1901.981
gestureclass,3.7127,1878.473
gestureclass,3.7200,1963.425
gestureclass,3.7366,1946.839
gestureclass,3.7949,1888.563
gestureclass,3.8226,1951.216
gestureclass,3.8471,1926.801
gestureclass,3.8587,1915.130
gestureclass,3.8827,1982.281
gestureclass,3.8968,1968.148
gestureclass,3.9001,1964.890
gestureclass,3.9069,2048.332
gestureclass,3.9112,2044.031
gestureclass,3.9325,2022.734
gestureclass,3.9349,2110.624
gestureclass,3.9363,2109.253
gestureclass,3.9411,2104.456
gestureclass,3.9514,2184.199
gestureclass,3.9538,2181.836
gestureclass,3.9802,2155.393
gestureclass,3.9956,2230.125
gestureclass,4.0982,2127.489
gestureclass,4.1660,2059.762
gestureclass,4.1810,2136.033
gestureclass,4.1936,2123.441
gestureclass,4.1959,2121.214
gestureclass,4.2284,2179.744
gestureclass,4.2989,2109.324
gestureclass,4.3133,2094.913
gestureclass,4.3449,2153.919
gestureclass,4.3450,2153.847
gestureclass,4.4927,2006.273
gestureclass,4.4940,2095.984
gestureclass,4.5241,2065.896
gestureclass,4.5254,2064.657
gestureclass,4.5327,2148.052
gestureclass,4.5409,2139.856
gestureclass,4.5613,2119.482
gestureclass,4.5626,2208.261
gestureclass,4.5734,2197.569
gestureclass,4.5767,2194.279
gestureclass,4.5790,2281.932
gestureclass,4.6140,2246.926
gestureclass,4.6225,2238.475
gestureclass,4.6249,2326.654
gestureclass,4.6356,2315.954
gestureclass,4.6400,2311.629
gestureclass,4.6401,2402.207
gestureclass,4.6426,2399.700
gestureclass,4.6666,2375.752
gestureclass,4.6666,2466.068
gestureclass,4.6770,2455.928
gestureclass,4.6901,2442.837
gestureclass,4.6954,2527.719
gestureclass,4.7120,2511.162
gestureclass,4.7480,2475.203
gestureclass,4.7609,2552.311
gestureclass,4.7727,2540.576
gestureclass,4.7760,2537.272
gestureclass,4.7885,2616.024
gestureclass,4.8347,2569.849
gestureclass,4.8464,2558.135
gestureclass,4.8621,2633.933
gestureclass,4.9185,2577.574
gestureclass,4.9259,2570.186
gestureclass,4.9273,2659.255
gestureclass,4.9696,2616.954
gestureclass,4.9835,2603.037
gestureclass,4.9858,2691.468
gestureclass,4.9880,2689.291
gestureclass,5.0010,2676.350
gestureclass,5.0326,2735.342
gestureclass,5.0326,2735.284
gestureclass,5.0353,2732.667
gestureclass,5.0376,2820.594
gestureclass,5.0398,2818.348
gestureclass,5.0605,2797.702
gestureclass,5.0617,2887.671
gestureclass,5.0998,2849.590
gestureclass,5.1499,2799.547
gestureclass,5.2494,2793.210
gestureclass,5.2494,2793.158
gestureclass,5.2547,2787.855
gestureclass,5.2690,2865.277
gestureclass,5.2703,2864.025
gestureclass,5.3530,2781.327
gestureclass,5.4210,2804.407
gestureclass,5.4338,2791.740
gestureclass,5.4745,2751.052
gestureclass,5.5155,2799.532
gestureclass,5.5314,2783.643
gestureclass,5.5401,2775.009
gestureclass,5.5799,2825.866
gestureclass,5.5912,2814.540
gestureclass,5.6419,2763.889
gestureclass,5.6617,2834.929
gestureclass,5.6761,2820.577
gestureclass,5.6856,2811.092
gestureclass,5.6921,2895.275
gestureclass,5.6964,2891.066
gestureclass,5.6965,2891.015
gestureclass,5.7028,2976.007
gestureclass,5.7030,2975.841
gestureclass,5.7082,2970.587
gestureclass,5.7752,2994.156
gestureclass,5.8238,2945.616
gestureclass,5.8721,2897.307
gestureclass,5.8805,2980.216
gestureclass,5.9401,2920.656
gestureclass,5.9625,2898.273
gestureclass,5.9639,2987.244
gestureclass,5.9693,2981.866
gestureclass,5.9905,2960.640
gestureclass,5.9943,3046.001
gestureclass,5.9969,3043.463
gestureclass,6.0252,3015.182
gestureclass,6.0252,3105.922
gestureclass,6.0258,3105.386
gestureclass,6.0650,3066.172
gestureclass,6.0724,3149.295
gestureclass,6.1253,3096.452
gestureclass,6.1566,3065.123
gestureclass,6.1792,3133.635
gestureclass,6.1876,3125.306
gestureclass,6.1919,3121.023
gestureclass,6.1932,3208.915
gestureclass,6.2221,3180.070
gestureclass,6.2235,3178.713
gestureclass,6.2279,3264.964
gestureclass,6.2433,3249.608
gestureclass,6.2436,3249.329
gestureclass,6.2659,3317.348
gestureclass,6.2672,3316.010
gestureclass,6.2705,3312.709
gestureclass,6.2728,3401.196
gestureclass,6.3193,3354.770
gestureclass,6.3906,3283.450
gestureclass,6.4184,3345.734
gestureclass,6.4410,3323.229
gestureclass,6.4471,3317.069
gestureclass,6.4688,3386.185
gestureclass,6.4925,3362.514
gestureclass,6.5221,3332.986
gestureclass,6.5548,3391.168
gestureclass,6.5882,3357.827
gestureclass,6.5883,3357.727
gestureclass,6.6112,3425.446
gestureclass,6.6303,3406.374
gestureclass,6.6715,3365.228
gestureclass,6.6739,3458.392
gestureclass,6.6969,3435.366
gestureclass,6.7093,3422.986
gestureclass,6.7227,3500.323
gestureclass,6.7261,3497.026
gestureclass,6.7547,3468.377
gestureclass,6.7686,3544.601
gestureclass,6.7707,3542.549
gestureclass,6.9212,3392.066
gestureclass,6.9398,3463.345
gestureclass,6.9503,3452.927
gestureclass,7.0149,3388.336
gestureclass,7.0525,3440.727
gestureclass,7.0827,3410.569
gestureclass,7.0840,3409.261
gestureclass,7.1067,3476.226
gestureclass,7.1501,3432.790
gestureclass,7.1644,3418.521
gestureclass,7.1935,3480.650
gestureclass,7.2000,3474.175
gestureclass,7.2033,3470.935
gestureclass,7.2464,3520.020
gestureclass,7.2568,3509.641
gestureclass,7.2710,3495.394
gestureclass,7.2784,3580.244
gestureclass,7.2919,3566.679
gestureclass,7.2992,3559.424
gestureclass,7.3005,3649.209
gestureclass,7.3407,3608.946
gestureclass,7.3443,3605.355
gestureclass,7.3523,3687.425
gestureclass,7.3912,3648.615
gestureclass,7.4128,3627.048
gestureclass,7.4303,3699.473
gestureclass,7.4740,3655.738
gestureclass,7.4774,3652.336
gestureclass,7.4918,3728.022
gestureclass,7.5033,3716.626
gestureclass,7.5725,3647.429
gestureclass,7.6070,3702.575
gestureclass,7.6123,3697.278
gestureclass,7.6156,3694.056
gestureclass,7.6247,3777.033
gestureclass,7.6290,3772.795
gestureclass,7.6393,3762.539
gestureclass,7.6406,3852.010
gestureclass,7.6598,3832.747
gestureclass,7.6631,3829.481
gestureclass,7.6677,3914.889
gestureclass,7.7483,3834.329
gestureclass,7.7821,3800.517
gestureclass,7.8251,3848.401
gestureclass,7.8254,3848.146
gestureclass,7.8316,3841.899
gestureclass,7.8412,3922.377
gestureclass,7.8774,3886.231
gestureclass,7.8951,3868.510
gestureclass,7.8952,3960.374
gestureclass,7.9021,3953.443
gestureclass,7.9359,3919.746
gestureclass,8.0497,3897.580
gestureclass,8.0580,3889.336
gestureclass,8.0703,3877.035
gestureclass,8.0896,3947.806
gestureclass,8.1019,3935.544
gestureclass,8.1344,3903.065
gestureclass,8.1805,3947.002
gestureclass,8.1839,3943.678
gestureclass,8.1992,3928.345
gestureclass,8.2016,4015.705
gestureclass,8.2048,4012.452
gestureclass,8.2181,3999.244
gestureclass,8.2252,4082.508
gestureclass,8.2267,4081.036
gestureclass,8.2425,4065.238
gestureclass,8.2687,4129.793
gestureclass,8.2961,4102.367
gestureclass,8.3026,4095.947
gestureclass,8.3183,4170.625
gestureclass,8.3226,4166.398
gestureclass,8.3278,4161.141
gestureclass,8.3351,4244.502
gestureclass,8.3925,4187.104
gestureclass,8.4029,4176.752
