task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,50.0,392,49.0,3643.295,3778.133,5270.726,5379.705,88.671,85.927,0.003,0.681,3553.93,0.0,3554.624
gestureclass,fifo,50.0,392,49.0,3097.824,3105.654,4964.747,5106.109,89.832,87.025,0.003,0.706,3007.299,0.0,3007.992
