task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,595,59.5,65.91,66.82,93.207,105.414
gestureclass,no_sharing,595,59.5,64.906,65.984,92.151,104.494
