task,device_url,n_requests,throughput_rps,avg_latency_ms,error
squad,local://instance-0,162,16.2,61.79534211570834,
conll2003,local://instance-0,162,16.2,61.80140265712031,
ag_news,local://instance-0,162,16.2,61.856980677004216,
sst2,local://instance-0,162,16.2,61.82024508346746,
