task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,217,3.9455,252.964,252.854,255.403,256.825,209.364
ecgclass__app1,217,3.9455,252.966,252.901,255.388,257.089,209.434
ecgclass__app2,217,3.9455,252.969,252.852,255.871,256.904,209.305
ecgclass__app3,217,3.9455,252.966,252.774,255.984,256.805,209.312
ecgclass__app4,217,3.9455,252.974,252.826,255.541,256.769,209.318
ecgclass__app5,217,3.9455,252.968,252.9,255.403,256.131,209.572
ecgclass__app6,217,3.9455,252.961,252.898,255.912,257.718,209.306
ecgclass__app7,217,3.9455,252.969,252.805,255.56,256.933,209.334
ecgclass__app8,217,3.9455,252.936,252.919,255.724,256.659,209.432
ecgclass__app9,217,3.9455,252.932,252.83,254.049,254.866,57.255
