task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth__app1,sharing,2906,4.9254,110.431,89.25,268.201,385.382,70.278,65.105,0.003,2.533,34.168,0.0,40.154
vocseg__app1,sharing,2979,5.0492,125.209,102.673,291.06,445.254,82.968,76.256,0.003,3.46,36.268,0.0,42.241
nyudepth__app2,sharing,2979,5.0492,125.318,102.874,294.446,445.102,82.497,76.129,0.003,2.996,36.241,0.0,42.822
vocseg__app2,sharing,2996,5.078,123.485,100.394,293.12,441.884,81.211,75.049,0.003,3.306,36.452,0.0,42.274
nyudepth__app3,sharing,2996,5.078,124.004,101.588,294.681,434.193,81.041,75.038,0.003,2.954,36.434,0.0,42.964
vocseg__app3,sharing,2984,5.0576,127.72,103.543,292.971,443.632,83.933,77.835,0.003,3.296,37.73,0.0,43.787
nyudepth__app4,sharing,2984,5.0576,128.115,104.345,297.071,449.482,83.569,77.646,0.003,2.89,37.692,0.0,44.545
vocseg__app4,sharing,2986,5.061,126.593,103.099,298.667,416.809,84.306,77.964,0.003,3.308,36.206,0.0,42.286
nyudepth__app5,sharing,2986,5.061,127.157,103.569,298.133,429.035,84.329,77.997,0.003,3.031,36.132,0.0,42.828
vocseg__app5,sharing,3029,5.1339,110.468,87.987,285.284,412.334,70.226,64.923,0.003,2.792,34.597,0.0,40.242
