task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth__app1,no_sharing_tpc,396,0.6712,3860.176,2176.609,13531.883,20876.097,3057.279,3010.405,0.004,11.917,794.257,0.0,802.897
vocseg__app1,no_sharing_tpc,384,0.6508,4411.224,2147.642,16733.973,20632.381,3494.975,3382.82,0.003,18.474,905.841,0.0,916.249
nyudepth__app2,no_sharing_tpc,375,0.6356,4868.197,2711.9,16650.545,21014.668,3982.615,3908.516,0.004,13.769,876.082,0.0,885.582
vocseg__app2,no_sharing_tpc,398,0.6746,3624.442,1804.548,12151.501,22423.954,2966.542,2893.997,0.003,15.732,649.205,0.0,657.9
nyudepth__app3,no_sharing_tpc,323,0.5475,2321.095,1501.863,6021.22,8452.543,1956.278,1928.754,0.003,12.189,358.129,0.0,364.817
vocseg__app3,no_sharing_tpc,344,0.5831,2804.435,2031.389,7351.965,10768.702,2279.893,2235.601,0.003,14.526,516.803,0.0,524.542
nyudepth__app4,no_sharing_tpc,403,0.6831,3072.09,2236.009,7866.496,11353.038,2365.598,2330.143,0.004,11.35,698.846,0.0,706.492
vocseg__app4,no_sharing_tpc,420,0.7119,6463.531,3234.415,20436.761,23612.84,5000.956,4900.425,0.003,13.179,1445.675,0.0,1462.575
nyudepth__app5,no_sharing_tpc,328,0.5559,4680.491,1920.56,20925.063,25652.127,3914.613,3854.073,0.004,13.157,753.702,0.0,765.879
vocseg__app5,no_sharing_tpc,409,0.6932,4501.7,2458.33,15657.052,17363.694,3664.867,3577.986,0.003,15.804,826.744,0.0,836.833
