task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,7,1,0.0,0.3808,380.7135,380.7135,366.2243,229.1548,0.0025,136.485,6.9702,14.4891,1775522233816000028,0
nyudepth,7,1,0.3808,0.4037,22.9657,22.9657,13.9492,13.2399,0.0012,0.4402,4.1068,9.0165,1775522234193860623,0
nyudepth,7,1,0.4037,0.4588,55.0964,55.0964,44.6479,44.0348,0.0009,0.4104,5.2161,10.4485,1775522234217944302,0
nyudepth,7,1,0.4588,0.5139,55.0046,55.0046,43.8584,43.0784,0.001,0.4382,6.3148,11.1462,1775522234274146695,0
nyudepth,7,1,0.5139,0.5697,55.8181,55.8181,46.8251,46.2229,0.0009,0.3934,3.7439,8.993,1775522234326586787,0
nyudepth,7,1,0.5697,0.6256,55.9537,55.9537,46.3091,45.4723,0.0011,0.3936,4.7815,9.6446,1775522234383450286,0
nyudepth,7,1,0.6256,0.6807,55.0992,55.0992,44.6768,43.965,0.0017,0.4794,5.2981,10.4225,1775522234439926295,0
nyudepth,7,1,0.6808,0.7362,55.4578,55.4578,45.6282,44.9142,0.0009,0.4118,5.1057,9.8296,1775522234494844257,0
nyudepth,7,1,0.7362,0.7933,57.1163,57.1163,46.1827,45.4299,0.0011,0.4364,4.7002,10.9336,1775522234549904652,0
nyudepth,7,1,0.7933,0.848,54.6572,54.6572,45.8546,45.1788,0.0009,0.4594,3.9163,8.8027,1775522234606247568,0
nyudepth,7,1,0.848,0.903,55.0358,55.0358,46.1009,45.4554,0.001,0.4012,4.2944,8.9349,1775522234661292583,0
nyudepth,7,1,0.9031,0.9588,55.7876,55.7876,47.2087,46.5116,0.0009,0.5147,3.9382,8.5788,1775522234715980299,0
nyudepth,7,1,0.9588,1.0147,55.8817,55.8817,46.4757,45.5778,0.0009,0.6242,4.7319,9.406,1775522234772567841,0
nyudepth,7,1,1.0147,1.0703,55.5921,55.5921,46.166,45.5106,0.0013,0.3884,4.6778,9.4261,1775522234828401695,0
nyudepth,7,1,1.0703,1.126,55.6765,55.6765,47.7553,47.1934,0.0009,0.3852,3.3829,7.9211,1775522234882705292,0
nyudepth,7,1,1.126,1.1817,55.723,55.723,47.7139,47.0544,0.001,0.4014,3.4959,8.009,1775522234938501265,0
nyudepth,7,1,1.1817,1.2374,55.6223,55.6223,45.9198,45.3433,0.0009,0.3835,5.1095,9.7026,1775522234995844575,0
nyudepth,7,1,1.2374,1.2939,56.5138,56.5138,43.6109,42.9031,0.001,0.4562,8.0416,12.9029,1775522235054405045,0
nyudepth,7,1,1.2939,1.3495,55.6252,55.6252,46.3591,45.7318,0.001,0.4062,4.323,9.2661,1775522235107210445,0
nyudepth,7,1,1.3495,1.405,55.4216,55.4216,47.1311,46.5326,0.0009,0.3937,3.7389,8.2905,1775522235162259210,0
nyudepth,7,1,1.405,1.4607,55.7349,55.7349,47.3769,46.7789,0.0009,0.4002,3.6366,8.358,1775522235217586082,0
nyudepth,7,1,1.4607,1.5166,55.8789,55.8789,50.2031,49.3529,0.0009,0.6661,1.0314,5.6758,1775522235270722411,0
nyudepth,7,1,1.5166,1.5718,55.1758,55.1758,46.0892,45.504,0.0011,0.3789,4.6062,9.0866,1775522235330181852,0
nyudepth,7,1,1.5718,1.6276,55.8608,55.8608,46.5214,45.9312,0.0009,0.404,4.8723,9.3394,1775522235385629647,0
nyudepth,7,1,1.6276,1.6841,56.4308,56.4308,48.2255,47.6398,0.001,0.3938,3.5868,8.2054,1775522235440211680,0
nyudepth,7,1,1.6841,1.7394,55.3598,55.3598,45.7327,45.122,0.0009,0.3997,4.8981,9.6272,1775522235497962410,0
nyudepth,7,1,1.7394,1.7954,55.9146,55.9146,47.104,46.4268,0.0009,0.4011,3.885,8.8107,1775522235552316389,0
nyudepth,7,1,1.7954,1.8506,55.233,55.233,46.2616,45.5734,0.001,0.4003,4.2634,8.9714,1775522235608617264,0
nyudepth,7,1,1.8506,1.9062,55.5747,55.5747,47.298,46.7189,0.0009,0.3856,3.4752,8.2766,1775522235663069394,0
nyudepth,7,1,1.9062,1.9619,55.7454,55.7454,46.4412,45.8582,0.0009,0.3976,4.5524,9.3042,1775522235719728008,0
nyudepth,7,1,1.9619,2.0174,55.5058,55.5058,47.3258,46.7362,0.001,0.4109,3.6356,8.18,1775522235774563078,0
