backbone,victim_task,victim_rps,aggressor_task,aggressor_rps,role,task,input_rps,output_rps,n_sent,n_completed,n_errors,avg_lat_ms,p50_lat_ms,p95_lat_ms,p99_lat_ms
momentbase,ecgclass,10.0,gestureclass,0.0,victim,ecgclass,10.1417,10.1417,1217,1217,0,12.941,12.123,16.512,19.51
momentbase,ecgclass,10.0,gestureclass,2.0,victim,ecgclass,10.2917,10.2917,1235,1235,0,13.003,12.076,17.164,21.208
momentbase,ecgclass,10.0,gestureclass,2.0,aggressor,gestureclass,2.0833,2.0833,250,250,0,13.665,12.115,17.634,22.867
momentbase,ecgclass,10.0,gestureclass,5.0,victim,ecgclass,9.9333,9.9333,1192,1192,0,12.922,12.008,18.106,21.384
momentbase,ecgclass,10.0,gestureclass,5.0,aggressor,gestureclass,4.8833,4.8833,586,586,0,13.586,11.964,17.904,21.612
momentbase,ecgclass,10.0,gestureclass,10.0,victim,ecgclass,9.75,9.75,1170,1170,0,13.154,11.746,18.009,24.283
momentbase,ecgclass,10.0,gestureclass,10.0,aggressor,gestureclass,10.375,10.375,1245,1245,0,12.71,11.751,17.896,22.964
momentbase,ecgclass,10.0,gestureclass,20.0,victim,ecgclass,10.2333,10.2333,1228,1228,0,13.759,11.678,19.701,25.503
momentbase,ecgclass,10.0,gestureclass,20.0,aggressor,gestureclass,19.7,19.7,2364,2364,0,13.999,11.598,19.538,26.721
momentbase,ecgclass,10.0,gestureclass,30.0,victim,ecgclass,9.9583,9.9583,1195,1195,0,14.984,11.693,24.654,37.409
momentbase,ecgclass,10.0,gestureclass,30.0,aggressor,gestureclass,29.6,29.6,3552,3552,0,14.545,11.698,24.153,32.094
momentbase,ecgclass,10.0,gestureclass,50.0,victim,ecgclass,9.9,9.9,1188,1188,0,17.089,12.694,30.13,39.806
momentbase,ecgclass,10.0,gestureclass,50.0,aggressor,gestureclass,48.8167,48.8167,5858,5858,0,16.203,12.6,28.82,37.901
momentbase,ecgclass,10.0,gestureclass,100.0,victim,ecgclass,10.2833,10.2833,1234,1234,0,34.5,29.0,66.998,100.541
momentbase,ecgclass,10.0,gestureclass,100.0,aggressor,gestureclass,94.7083,94.7083,11365,11365,0,33.17,28.66,65.422,101.76
momentbase,ecgclass,10.0,gestureclass,200.0,victim,ecgclass,10.175,10.175,1221,1221,0,15312.85,15103.7,28195.37,29491.802
momentbase,ecgclass,10.0,gestureclass,200.0,aggressor,gestureclass,172.85,172.85,20742,20742,0,14994.117,14824.939,28240.953,29621.193
momentbase,ecgclass,10.0,gestureclass,500.0,victim,ecgclass,9.5667,9.5667,1148,1148,0,97313.692,98756.691,180989.615,187425.436
momentbase,ecgclass,10.0,gestureclass,500.0,aggressor,gestureclass,365.775,365.775,43893,43893,0,96406.698,97808.017,179433.021,186753.608
