task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing,5993,10.1576,92.597,82.944,159.102,195.42,69.603,67.781,0.002,0.867,21.924,0.0,22.994
gestureclass,no_sharing,5951,10.0864,91.216,82.766,160.407,203.887,68.75,66.931,0.002,0.871,21.427,0.0,22.466
