req_id,send_time_rel
0,0.0
1,0.12021
2,0.23702
3,0.356258
4,0.370248
5,0.37457
6,0.447203
7,0.517701
8,0.673915
9,0.67788
10,0.730208
11,0.73373
12,0.788181
13,0.874748
14,0.894092
15,0.955672
16,0.96336
17,0.967939
18,0.983698
19,1.028758
20,1.049407
21,1.111777
22,1.122955
23,1.214854
24,1.276208
25,1.308998
26,1.329852
27,1.352518
28,1.356372
29,1.365354
30,1.39962
31,1.419054
32,1.482264
33,1.517689
34,1.529585
35,1.55264
36,1.584717
37,1.601909
38,1.618005
39,1.66195
40,1.676798
41,1.743483
42,1.813026
43,1.86723
44,1.870882
45,1.927585
46,1.995302
47,2.051404
48,2.065406
49,2.081453
50,2.08974
51,2.107458
52,2.108515
53,2.116883
54,2.182636
55,2.382424
56,2.410601
57,2.424802
58,2.44469
59,2.462757
60,2.469239
61,2.523405
62,2.592198
63,2.667588
64,2.933082
65,3.038415
66,3.120659
67,3.172833
68,3.202459
69,3.204682
70,3.252512
71,3.283581
72,3.35898
73,3.46038
74,3.476983
75,3.479471
76,3.525712
77,3.653383
78,3.694436
79,3.800983
80,3.838634
81,3.904334
82,3.918773
83,3.925494
84,3.932618
85,3.938502
86,3.941236
87,4.027065
88,4.049496
89,4.068803
90,4.115551
91,4.124914
92,4.220829
93,4.285426
94,4.301888
95,4.311918
96,4.338469
97,4.353711
98,4.357498
99,4.382676
100,4.495269
101,4.545712
102,4.699833
103,4.802154
104,4.858049
105,4.950579
106,4.986925
107,5.040318
108,5.059329
109,5.070281
110,5.177527
111,5.184542
112,5.193937
113,5.209449
114,5.257824
115,5.278516
116,5.312741
117,5.420729
118,5.497815
119,5.556378
120,5.564925
121,5.624396
122,5.64712
123,5.653308
124,5.67328
125,5.676808
126,5.722562
127,5.771146
128,5.785861
129,5.788153
130,5.924618
131,5.965008
132,6.039412
133,6.057052
134,6.140872
135,6.222935
136,6.227592
137,6.499171
138,6.532851
139,6.602739
140,6.614924
141,6.664115
142,6.678427
143,6.759125
144,6.782278
145,6.821233
146,6.847637
147,6.885312
148,6.908927
149,6.939577
150,6.941013
151,7.020388
152,7.145871
153,7.174919
154,7.345123
155,7.353528
156,7.49276
157,7.510978
158,7.544411
159,7.66626
160,7.672607
161,7.682156
162,7.749282
163,7.798401
164,7.8128
165,7.834968
166,7.87246
167,7.967448
168,7.985364
169,8.023617
170,8.041326
171,8.056542
172,8.163219
173,8.191049
174,8.25802
175,8.273155
176,8.282457
177,8.339577
178,8.41045
179,8.457994
180,8.517362
181,8.568304
182,8.622902
183,8.735636
184,8.87681
185,8.909928
186,8.914465
187,8.984652
188,9.026961
189,9.148985
190,9.201208
191,9.208222
192,9.260682
193,9.289304
194,9.295061
195,9.308754
196,9.482556
197,9.502702
198,9.515607
199,9.537812
200,9.64118
201,9.695621
202,9.705507
203,9.705913
204,9.727814
205,9.735346
206,9.838719
207,9.844048
208,9.87826
209,9.929137
210,10.072637
211,10.087161
212,10.17395
213,10.212133
214,10.298634
215,10.316541
216,10.333179
217,10.345818
218,10.398013
219,10.430494
220,10.473798
221,10.537939
222,10.595643
223,10.647908
224,10.717846
225,10.719567
226,10.794814
227,10.859835
228,10.881768
229,10.893755
230,10.929285
231,11.03057
232,11.046866
233,11.118531
234,11.266984
235,11.286925
236,11.502064
237,11.505083
238,11.506943
239,11.599808
240,11.632078
241,11.66238
242,11.760339
243,11.884089
244,11.925303
245,12.03063
246,12.081154
247,12.106227
248,12.118392
249,12.18723
250,12.294274
251,12.427768
252,12.442869
253,12.494159
254,12.519824
255,12.605421
256,12.616456
257,12.619404
258,12.637449
259,12.640982
260,12.664538
261,12.688932
262,12.694601
263,12.848962
264,12.864072
265,12.92391
266,12.933946
267,12.959384
268,12.963896
269,12.969789
270,12.970346
271,13.051114
272,13.068877
273,13.103509
274,13.146956
275,13.155947
276,13.302604
277,13.329936
278,13.333705
279,13.339107
280,13.363924
281,13.370274
282,13.38659
283,13.423757
284,13.425831
285,13.443776
286,13.522271
287,13.525997
288,13.574515
289,13.577038
290,13.710944
291,13.723653
292,13.735907
293,13.790413
294,13.903381
295,14.062768
296,14.131854
297,14.218235
298,14.273077
299,14.282704
300,14.340987
301,14.349331
302,14.398789
303,14.437152
304,14.45503
305,14.490537
306,14.53565
307,14.547236
308,14.56814
309,14.589276
310,14.594897
311,14.60938
312,14.660683
313,14.720438
314,14.749134
315,14.779131
316,14.799024
317,14.857355
318,14.877667
319,14.925575
320,14.957581
321,14.987595
322,15.131258
323,15.238501
324,15.286198
325,15.345843
326,15.353242
327,15.376417
328,15.441552
329,15.492702
330,15.504538
331,15.65983
332,15.661749
333,15.717417
334,15.722239
335,15.845104
336,15.849433
337,15.927016
338,15.936069
339,16.163096
340,16.192
341,16.250715
342,16.299684
343,16.333179
344,16.40528
345,16.442281
346,16.579311
347,16.582363
348,16.850306
