task,n_requests,throughput_rps,avg_latency_ms
sysbp,607,60.7,16.48366526850379
ecgclass,607,60.7,16.483999359133524
diasbp,607,60.7,16.48382097033478
eclfore,607,60.7,16.483557273507163
gestureclass,607,60.7,16.484270380572973
exchangefore,607,60.7,16.483618487636914
heartrate,607,60.7,16.484155691921593
etth1fore,607,60.7,16.483971640854563
