task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
nyudepth,sharing,0.0001,257.7066,248.1419,189.6648,0.0031,58.1733,3.6213,9.5647
nyudepth,sharing,0.0408,424.4931,202.464,21.9724,0.0038,5.0845,215.0102,222.0291
nyudepth,sharing,0.0793,393.635,202.464,21.9724,0.0038,5.0845,176.5163,191.171
nyudepth,sharing,0.1193,482.1892,129.3192,7.7603,0.0015,37.6949,348.6757,352.87
nyudepth,sharing,0.1241,484.5316,129.3192,7.7603,0.0015,37.6949,343.8876,355.2125
nyudepth,sharing,0.1259,485.461,129.3192,7.7603,0.0015,37.6949,342.119,356.1418
nyudepth,sharing,0.1495,611.6788,121.9003,6.0949,0.0037,0.3617,458.0932,489.7785
nyudepth,sharing,0.1734,587.7867,121.9003,6.0949,0.0037,0.3617,434.1931,465.8864
nyudepth,sharing,0.2248,644.3393,121.8807,11.1327,0.0016,36.4301,517.1568,522.4586
nyudepth,sharing,0.2265,647.9282,121.8807,11.1327,0.0016,36.4301,515.4204,526.0475
nyudepth,sharing,0.2435,635.7083,121.8807,11.1327,0.0016,36.4301,498.4319,513.8276
nyudepth,sharing,0.2452,763.89,121.5685,4.3395,0.0039,0.3537,628.0227,642.3215
nyudepth,sharing,0.2636,745.527,121.5685,4.3395,0.0039,0.3537,609.6466,623.9585
nyudepth,sharing,0.292,838.6581,122.3004,4.5506,0.0011,38.749,712.2335,716.3577
nyudepth,sharing,0.2988,839.0932,122.3004,4.5506,0.0011,38.749,705.4346,716.7928
nyudepth,sharing,0.3196,820.698,122.3004,4.5506,0.0011,38.749,684.628,698.3976
nyudepth,sharing,0.3213,946.6212,122.0171,4.3178,0.004,0.3665,814.4703,824.6041
nyudepth,sharing,0.3229,950.1998,122.0171,4.3178,0.004,0.3665,812.9227,828.1828
nyudepth,sharing,0.3284,1066.0124,123.0464,4.4377,0.0011,38.8,938.6888,942.966
nyudepth,sharing,0.344,1061.3415,123.0464,4.4377,0.0011,38.8,923.0719,938.2951
nyudepth,sharing,0.3507,1054.6894,123.0464,4.4377,0.0011,38.8,916.4031,931.643
