req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
6,0.0,site2,192.168.245.195:8010,papageissvri,etth1fore,1776742293.8847175,1776742293.884721,1776742293.9068286,1776742293.9436724,1776742293.9530914,0.0035762786865234375,19.568681716918945,36.84377670288086,11.957883834838867,68.3739185333252,29.447093,0.003217,6.5066489999999995
7,0.0,site2,192.168.245.195:8030,papageissvri,etth1fore__app15,1776742293.88485,1776742293.8848538,1776742293.9069521,1776742293.94385,1776742293.9532738,0.003814697265625,19.63329315185547,36.897897720336914,11.888742446899414,68.42374801635742,30.854839,0.0031999999999999997,4.9980459999999995
2,0.0,site2,192.168.245.195:8040,papageissvri,diasbp__app19,1776742293.8841739,1776742293.8841782,1776742293.9064512,1776742293.9439301,1776742293.9533808,0.004291534423828125,19.86861228942871,37.47892379760742,11.855125427246094,69.20695304870605,32.275002,0.00332,4.342346
1,0.0,site2,192.168.245.195:8020,papageissvri,diasbp__app11,1776742293.8840094,1776742293.8840141,1776742293.905905,1776742293.9437733,1776742293.953469,0.00476837158203125,19.382834434509277,37.86826133728027,12.203812599182129,69.45967674255371,31.122193,0.003867,5.859572
3,0.0,site2,192.168.245.195:8060,papageissvri,diasbp__app27,1776742293.8843176,1776742293.8843212,1776742293.9062304,1776742293.9444733,1776742293.9535391,0.0035762786865234375,19.49787139892578,38.24281692504883,11.477231979370117,69.22149658203125,33.567883,0.00359,3.690289
5,0.0,site2,192.168.245.195:8100,papageissvri,diasbp__app43,1776742293.884585,1776742293.8845885,1776742293.9067156,1776742293.9450028,1776742293.9536073,0.0035762786865234375,19.67453956604004,38.28716278076172,11.057138442993164,69.02241706848145,36.176472000000004,0.0030359999999999996,1.21756
10,0.0,site2,192.168.245.195:8090,papageissvri,etth1fore__app39,1776742293.8852718,1776742293.8852763,1776742293.9075255,1776742293.9449167,1776742293.9537144,0.0045299530029296875,19.87314224243164,37.39118576049805,11.173725128173828,68.44258308410645,34.563382,0.003733,1.876733
4,0.0,site2,192.168.245.195:8080,papageissvri,diasbp__app35,1776742293.8844535,1776742293.884457,1776742293.9063973,1776742293.9448614,1776742293.9538102,0.0035762786865234375,19.543170928955078,38.46406936645508,11.345863342285156,69.35667991638184,34.897752,0.016807,2.61722
11,0.0,site2,192.168.245.195:8110,papageissvri,etth1fore__app47,1776742293.8854072,1776742293.8854108,1776742293.9073935,1776742293.9450738,1776742293.9539113,0.0035762786865234375,19.59049701690674,37.68038749694824,11.229634284973145,68.50409507751465,35.762387,0.002963,1.0756
0,0.0,site2,192.168.245.195:8000,papageissvri,diasbp,1776742293.8838258,1776742293.8838305,1776742293.9059007,1776742293.9454381,1776742293.954006,0.00476837158203125,19.49286460876465,39.53742980957031,11.14511489868164,70.18017768859863,37.275248,0.005563,1.228327
