task,slot,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,slot_0:ecgclass,sharing,589,0.9983,61.289,54.54,90.144,107.678,55.82,54.394,0.002,0.912,4.465,5.469
gestureclass,slot_1:gestureclass,sharing,617,1.0458,62.351,54.554,90.967,123.353,55.533,54.12,0.002,0.899,5.827,6.818
