task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass__app1,0.0003,438.804,437.192,0
ecgclass,0.0001,450.402,448.717,0
ecgclass__app1,0.4391,80.140,78.648,0
ecgclass,0.4506,78.047,76.563,0
ecgclass__app1,0.5193,77.441,76.092,0
ecgclass,0.5286,77.243,75.949,0
ecgclass__app1,0.5967,77.480,76.164,0
ecgclass,0.6059,77.633,76.377,0
ecgclass__app1,0.6742,77.738,76.415,0
ecgclass,0.6835,77.713,76.480,0
ecgclass__app1,0.7520,77.335,76.086,0
ecgclass,0.7613,77.499,76.268,0
ecgclass__app1,0.8293,77.755,76.482,0
ecgclass,0.8388,77.354,76.110,0
ecgclass__app1,0.9071,77.560,76.234,0
ecgclass,0.9162,77.583,76.297,0
ecgclass__app1,0.9847,77.139,75.778,0
ecgclass,0.9938,77.066,75.786,0
ecgclass__app1,1.0619,77.220,75.951,0
ecgclass,1.0708,77.530,76.264,0
ecgclass__app1,1.1391,77.467,76.257,0
ecgclass,1.1484,77.204,75.955,0
ecgclass__app1,1.2166,77.266,75.963,0
ecgclass,1.2256,76.883,75.686,0
ecgclass__app1,1.2939,76.949,75.659,0
ecgclass,1.3025,77.357,76.135,0
ecgclass__app1,1.3708,76.974,75.569,0
ecgclass,1.3799,76.495,75.250,0
ecgclass__app1,1.4478,76.939,75.644,0
ecgclass,1.4564,76.985,75.762,0
ecgclass__app1,1.5248,77.452,76.136,0
ecgclass,1.5334,77.689,76.526,0
ecgclass__app1,1.6022,76.800,75.485,0
ecgclass,1.6111,79.715,78.314,0
ecgclass__app1,1.6791,77.531,76.186,0
ecgclass,1.6908,77.916,76.488,0
ecgclass__app1,1.7566,77.471,76.184,0
ecgclass,1.7688,77.796,76.340,0
ecgclass__app1,1.8341,77.715,76.331,0
ecgclass,1.8466,77.480,76.029,0
ecgclass__app1,1.9118,77.593,76.263,0
ecgclass,1.9241,77.441,75.974,0
ecgclass__app1,1.9894,77.524,76.272,0
ecgclass,2.0015,77.665,76.255,0
ecgclass__app1,2.0670,77.536,76.217,0
ecgclass,2.0792,77.516,76.070,0
ecgclass__app1,2.1445,77.417,76.173,0
ecgclass,2.1567,77.345,75.921,0
ecgclass__app1,2.2220,77.378,76.083,0
ecgclass,2.2341,77.277,75.858,0
ecgclass__app1,2.2994,77.349,76.126,0
ecgclass,2.3114,77.709,76.326,0
ecgclass__app1,2.3767,77.821,76.544,0
ecgclass,2.3891,77.484,76.143,0
ecgclass__app1,2.4546,77.505,76.238,0
ecgclass,2.4666,77.572,76.168,0
ecgclass__app1,2.5321,77.382,76.122,0
ecgclass,2.5442,77.515,76.099,0
ecgclass__app1,2.6095,77.659,76.336,0
ecgclass,2.6217,77.335,75.967,0
ecgclass__app1,2.6872,77.043,75.678,0
ecgclass,2.6991,76.965,75.584,0
ecgclass__app1,2.7642,77.218,75.935,0
ecgclass,2.7761,77.386,75.941,0
ecgclass__app1,2.8415,77.102,75.769,0
ecgclass,2.8535,77.496,76.120,0
ecgclass__app1,2.9186,77.877,76.595,0
ecgclass,2.9310,77.293,75.912,0
ecgclass__app1,2.9965,77.055,75.804,0
ecgclass,3.0083,77.411,75.980,0
ecgclass__app1,3.0736,78.356,77.060,0
ecgclass,3.0857,75.903,74.483,0
ecgclass__app1,3.1519,78.109,76.818,0
ecgclass,3.1616,77.607,76.206,0
ecgclass__app1,3.2301,77.724,76.403,0
ecgclass,3.2393,77.732,76.379,0
ecgclass__app1,3.3078,77.588,76.236,0
ecgclass,3.3170,76.975,75.579,0
ecgclass__app1,3.3854,79.525,78.248,0
ecgclass,3.3940,77.280,75.924,0
ecgclass__app1,3.4649,78.099,76.812,0
ecgclass,3.4713,78.274,76.903,0
ecgclass__app1,3.5431,78.232,76.912,0
ecgclass,3.5496,77.767,76.387,0
ecgclass__app1,3.6213,77.846,76.566,0
ecgclass,3.6274,78.367,76.965,0
ecgclass__app1,3.6992,78.332,77.006,0
ecgclass,3.7058,77.752,76.398,0
ecgclass__app1,3.7775,77.946,76.650,0
ecgclass,3.7835,78.020,76.638,0
ecgclass__app1,3.8555,77.838,76.565,0
ecgclass,3.8616,77.791,76.430,0
ecgclass__app1,3.9334,77.731,76.438,0
ecgclass,3.9394,78.250,76.902,0
ecgclass__app1,4.0111,78.293,77.014,0
ecgclass,4.0176,78.389,77.044,0
ecgclass__app1,4.0894,78.406,77.135,0
ecgclass,4.0960,78.323,76.935,0
ecgclass__app1,4.1678,78.295,77.021,0
ecgclass,4.1744,78.326,76.926,0
ecgclass__app1,4.2462,78.305,76.981,0
ecgclass,4.2527,78.275,76.856,0
ecgclass__app1,4.3245,78.177,76.937,0
ecgclass,4.3310,78.120,76.760,0
ecgclass__app1,4.4027,77.907,76.642,0
ecgclass,4.4091,77.851,76.540,0
ecgclass__app1,4.4806,78.056,76.779,0
ecgclass,4.4870,77.685,76.516,0
ecgclass__app1,4.5587,77.538,76.245,0
ecgclass,4.5647,77.438,76.201,0
ecgclass__app1,4.6362,77.317,76.031,0
ecgclass,4.6422,77.661,76.464,0
ecgclass__app1,4.7136,77.822,76.510,0
ecgclass,4.7198,77.715,76.476,0
ecgclass__app1,4.7914,77.624,76.390,0
ecgclass,4.7976,77.502,76.378,0
ecgclass__app1,4.8690,77.562,76.310,0
ecgclass,4.8751,77.938,76.790,0
ecgclass__app1,4.9466,77.944,76.630,0
ecgclass,4.9531,77.751,76.576,0
ecgclass__app1,5.0246,77.712,76.406,0
ecgclass,5.0308,78.651,77.418,0
ecgclass__app1,5.1023,78.045,76.779,0
ecgclass,5.1095,77.385,76.196,0
ecgclass__app1,5.1804,77.727,76.422,0
ecgclass,5.1869,77.654,76.458,0
ecgclass__app1,5.2581,77.684,76.411,0
ecgclass,5.2646,77.685,76.554,0
ecgclass__app1,5.3358,77.924,76.603,0
ecgclass,5.3423,77.913,76.695,0
ecgclass__app1,5.4138,77.772,76.533,0
ecgclass,5.4202,77.748,76.547,0
ecgclass__app1,5.4916,78.019,76.716,0
ecgclass,5.4980,78.166,76.754,0
ecgclass__app1,5.5696,78.364,77.084,0
ecgclass,5.5761,78.090,76.688,0
ecgclass__app1,5.6480,77.946,76.699,0
ecgclass,5.6542,77.956,76.588,0
ecgclass__app1,5.7259,77.971,76.713,0
ecgclass,5.7322,78.013,76.669,0
ecgclass__app1,5.8039,77.966,76.730,0
ecgclass,5.8102,77.863,76.529,0
ecgclass__app1,5.8819,79.196,77.936,0
ecgclass,5.8881,77.967,76.664,0
ecgclass__app1,5.9611,80.048,78.813,0
ecgclass,5.9661,79.619,78.259,0
ecgclass__app1,6.0412,79.227,77.968,0
ecgclass,6.0457,79.158,77.822,0
ecgclass__app1,6.1204,79.054,77.790,0
ecgclass,6.1249,79.027,77.721,0
ecgclass__app1,6.1995,79.087,77.830,0
ecgclass,6.2040,79.094,77.798,0
ecgclass__app1,6.2786,78.358,77.086,0
ecgclass,6.2831,78.988,77.671,0
ecgclass__app1,6.3570,79.659,78.388,0
ecgclass,6.3621,79.157,77.802,0
ecgclass__app1,6.4367,79.077,77.763,0
ecgclass,6.4412,79.016,77.706,0
ecgclass__app1,6.5158,79.115,77.781,0
ecgclass,6.5203,79.101,77.771,0
ecgclass__app1,6.5949,79.085,77.817,0
ecgclass,6.5994,79.167,77.882,0
ecgclass__app1,6.6740,79.009,77.745,0
ecgclass,6.6786,79.049,77.672,0
ecgclass__app1,6.7530,79.380,78.126,0
ecgclass,6.7576,79.165,77.859,0
ecgclass__app1,6.8324,78.878,77.617,0
ecgclass,6.8368,79.082,77.758,0
ecgclass__app1,6.9113,79.232,77.966,0
ecgclass,6.9159,79.154,77.828,0
ecgclass__app1,6.9906,79.070,77.811,0
ecgclass,6.9951,79.094,77.744,0
ecgclass__app1,7.0697,79.293,78.029,0
ecgclass,7.0742,79.216,77.834,0
ecgclass__app1,7.1490,78.966,77.702,0
ecgclass,7.1534,79.056,77.763,0
ecgclass__app1,7.2280,78.958,77.689,0
ecgclass,7.2325,79.035,77.805,0
ecgclass__app1,7.3069,80.728,79.432,0
ecgclass,7.3115,79.288,77.998,0
ecgclass__app1,7.3877,80.812,79.564,0
ecgclass,7.3908,80.122,78.928,0
ecgclass__app1,7.4685,80.113,78.848,0
ecgclass,7.4710,80.049,78.865,0
ecgclass__app1,7.5486,80.068,78.755,0
ecgclass,7.5510,80.129,78.913,0
ecgclass__app1,7.6287,81.551,78.930,0
ecgclass,7.6312,80.364,79.074,0
ecgclass__app1,7.7103,80.804,79.508,0
ecgclass,7.7116,80.959,79.769,0
ecgclass__app1,7.7911,84.390,83.003,0
ecgclass,7.7925,85.398,84.321,0
ecgclass__app1,7.8755,79.720,78.463,0
ecgclass,7.8779,79.592,78.484,0
ecgclass__app1,7.9553,79.953,78.675,0
ecgclass,7.9576,79.901,78.821,0
ecgclass__app1,8.0352,79.803,78.522,0
ecgclass,8.0375,79.893,78.777,0
ecgclass__app1,8.1150,79.764,78.466,0
ecgclass,8.1174,79.690,78.571,0
ecgclass__app1,8.1948,80.065,78.772,0
ecgclass,8.1971,80.103,78.919,0
ecgclass__app1,8.2749,80.590,79.286,0
ecgclass,8.2772,80.721,79.426,0
ecgclass__app1,8.3555,80.561,79.301,0
ecgclass,8.3579,80.480,79.166,0
ecgclass__app1,8.4361,80.184,78.949,0
ecgclass,8.4384,80.151,78.963,0
ecgclass__app1,8.5163,80.069,78.740,0
ecgclass,8.5186,80.078,78.914,0
ecgclass__app1,8.5964,80.019,78.734,0
ecgclass,8.5987,80.079,78.890,0
ecgclass__app1,8.6764,79.657,78.297,0
ecgclass,8.6788,79.996,78.833,0
ecgclass__app1,8.7561,81.533,80.096,0
ecgclass,8.7588,80.189,79.101,0
ecgclass__app1,8.8376,81.237,79.843,0
ecgclass,8.8390,80.302,79.165,0
ecgclass__app1,8.9189,80.769,79.411,0
ecgclass,8.9193,80.676,79.619,0
ecgclass__app1,8.9997,80.899,79.534,0
ecgclass,9.0000,80.897,79.662,0
ecgclass__app1,9.0806,80.462,79.167,0
ecgclass,9.0809,80.509,79.472,0
ecgclass__app1,9.1611,80.882,79.528,0
ecgclass,9.1615,80.890,79.758,0
ecgclass__app1,9.2420,80.857,79.501,0
ecgclass,9.2424,80.834,79.691,0
ecgclass__app1,9.3229,80.758,79.386,0
ecgclass,9.3232,80.767,79.694,0
ecgclass__app1,9.4036,80.835,79.483,0
ecgclass,9.4040,80.821,79.575,0
ecgclass__app1,9.4845,80.693,79.332,0
ecgclass,9.4848,80.732,79.616,0
ecgclass__app1,9.5652,80.764,79.413,0
ecgclass,9.5656,80.783,79.695,0
ecgclass__app1,9.6460,80.692,79.332,0
ecgclass,9.6464,80.682,79.596,0
ecgclass__app1,9.7267,80.821,79.457,0
ecgclass,9.7270,80.809,79.745,0
ecgclass__app1,9.8075,80.827,79.503,0
ecgclass,9.8079,80.813,79.673,0
ecgclass__app1,9.8884,80.768,79.490,0
ecgclass,9.8887,80.817,79.743,0
ecgclass__app1,9.9692,80.861,79.490,0
ecgclass,9.9695,80.862,79.737,0
ecgclass__app1,10.0500,80.898,79.545,0
ecgclass,10.0504,80.881,79.835,0
ecgclass__app1,10.1310,80.686,79.349,0
ecgclass,10.1313,80.683,79.542,0
ecgclass,10.2120,80.641,79.423,0
ecgclass__app1,10.2117,81.371,80.153,0
ecgclass,10.2926,85.159,83.845,0
ecgclass__app1,10.2930,85.196,84.085,0
ecgclass,10.3778,81.085,79.738,0
ecgclass__app1,10.3782,81.033,79.948,0
ecgclass,10.4589,81.005,79.584,0
ecgclass__app1,10.4593,81.003,79.851,0
ecgclass,10.5399,81.018,79.623,0
ecgclass__app1,10.5403,81.069,79.954,0
ecgclass__app1,10.6214,80.944,79.651,0
ecgclass,10.6210,81.725,80.448,0
ecgclass__app1,10.7024,80.754,79.462,0
ecgclass,10.7027,80.786,79.692,0
ecgclass__app1,10.7831,80.597,79.301,0
ecgclass,10.7835,80.569,79.522,0
ecgclass,10.8641,80.562,79.372,0
ecgclass__app1,10.8638,81.332,80.232,0
ecgclass,10.9447,80.998,79.709,0
ecgclass__app1,10.9451,81.018,79.931,0
ecgclass,11.0257,80.937,79.619,0
ecgclass__app1,11.0261,80.889,79.857,0
ecgclass,11.1067,81.338,80.079,0
ecgclass__app1,11.1070,81.332,80.310,0
ecgclass,11.1880,80.858,79.603,0
ecgclass__app1,11.1884,80.828,79.867,0
ecgclass,11.2689,80.736,79.527,0
ecgclass__app1,11.2692,80.770,79.801,0
ecgclass,11.3497,80.981,79.648,0
ecgclass__app1,11.3500,80.980,79.786,0
ecgclass,11.4307,80.879,79.468,0
ecgclass__app1,11.4310,80.890,79.864,0
ecgclass__app1,11.5119,80.560,79.290,0
ecgclass,11.5116,81.298,79.998,0
ecgclass__app1,11.5925,80.730,79.402,0
ecgclass,11.5929,80.778,79.557,0
ecgclass,11.6737,80.683,79.480,0
ecgclass__app1,11.6732,81.469,80.283,0
ecgclass,11.7544,80.892,79.565,0
ecgclass__app1,11.7547,80.907,79.762,0
ecgclass,11.8353,80.957,79.603,0
ecgclass__app1,11.8356,80.950,79.762,0
ecgclass,11.9162,80.874,79.549,0
ecgclass__app1,11.9166,80.894,79.784,0
ecgclass,11.9971,80.897,79.564,0
ecgclass__app1,11.9975,80.901,79.787,0
ecgclass,12.0780,81.163,79.847,0
ecgclass__app1,12.0784,81.170,80.148,0
ecgclass,12.1592,80.905,79.624,0
ecgclass__app1,12.1596,80.913,79.832,0
