task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,stfq,158,7.9,43.914,38.812,83.018,158.059,23.504,22.28,0.002,0.478,20.054,0.0,20.41
gestureclass,stfq,932,46.6,7279.17,7407.778,13045.085,13364.614,23.762,22.411,0.002,0.484,7255.045,0.0,7255.408
