task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,stfq,30.0,257,32.125,86.138,80.518,143.174,160.944,45.121,42.794,0.003,0.618,40.476,0.0,41.017
gestureclass,stfq,50.0,379,47.375,1896.584,1985.013,2537.159,2591.611,45.001,42.925,0.003,0.483,1851.002,0.0,1851.583
