task,t_center,count,throughput_rps,p50_ms,p99_ms,mean_ms
exchangefore,0.5,6,6.0,62.58344650268555,117.57938861846924,76.13317171732585
exchangefore,1.5,5,5.0,69.26321983337402,74.69575881958008,61.55819892883301
exchangefore,2.5,5,5.0,55.71627616882324,76.03452682495117,60.3546142578125
exchangefore,3.5,2,2.0,72.46613502502441,95.06548404693604,72.46613502502441
exchangefore,4.5,5,5.0,94.93494033813477,112.34624862670898,79.72564697265625
exchangefore,5.5,3,3.0,61.60378456115723,70.12804508209229,57.91489283243815
exchangefore,6.5,8,8.0,43.677568435668945,74.47446584701538,48.341989517211914
exchangefore,7.5,6,6.0,44.52061653137207,73.58396053314209,53.17568778991699
exchangefore,8.5,1,1.0,85.54697036743164,85.54697036743164,85.54697036743164
exchangefore,9.5,5,5.0,43.083906173706055,48.0647087097168,43.36051940917969
exchangefore,10.5,6,6.0,43.64752769470215,66.04957580566406,48.94034067789713
exchangefore,11.5,3,3.0,68.53771209716797,79.29964065551758,72.18790054321289
exchangefore,12.5,9,9.0,68.04585456848145,91.72427177429199,63.993400997585724
exchangefore,13.5,8,8.0,49.43239688873291,85.75450420379639,56.910544633865356
exchangefore,14.5,2,2.0,69.66304779052734,78.0496883392334,69.66304779052734
exchangefore,15.5,3,3.0,118.06440353393556,121.4696216583252,104.60607210795085
exchangefore,16.5,11,11.0,43.34759712219238,76.47523880004883,50.0490665435791
exchangefore,17.5,3,3.0,41.199684143066406,41.95133686065674,41.34305318196615
exchangefore,18.5,12,12.0,84.55336093902588,111.86566591262816,82.0771058400472
exchangefore,19.5,8,8.0,68.49706172943115,118.39850425720215,75.61707496643066
exchangefore,20.5,15,15.0,60.52875518798828,85.0818681716919,64.07308578491211
exchangefore,21.5,11,11.0,43.09272766113281,76.4108419418335,52.1640344099565
exchangefore,22.5,5,5.0,47.80173301696777,74.04186248779297,53.99155616760254
exchangefore,23.5,11,11.0,44.96550559997559,74.18713569641113,50.903168591586024
exchangefore,24.5,6,6.0,43.39718818664551,61.716341972351074,47.327518463134766
exchangefore,25.5,2,2.0,82.15475082397461,120.95820903778076,82.15475082397461
exchangefore,26.5,3,3.0,51.8343448638916,73.95073890686035,57.24747975667318
exchangefore,27.5,8,8.0,45.604705810546875,83.77403020858765,52.182525396347046
exchangefore,28.5,3,3.0,50.145626068115234,60.53418159484863,53.01976203918457
exchangefore,29.5,4,4.0,68.42005252838135,100.91723203659056,73.31162691116333
exchangefore,30.5,6,6.0,90.35587310791016,116.17273092269896,88.34028244018555
exchangefore,31.5,3,3.0,72.81494140625,73.14368724822998,62.796990076700844
exchangefore,32.5,6,6.0,68.19069385528564,99.29605722427367,69.70699628194173
exchangefore,33.5,5,5.0,75.77013969421387,93.10750961303712,75.81815719604492
exchangefore,34.5,6,6.0,96.73821926116943,145.4262137413025,105.39694627126057
exchangefore,35.5,7,7.0,84.44929122924805,109.06767845153807,87.52029282706124
exchangefore,36.5,6,6.0,64.01622295379639,96.4967131614685,65.66147009531657
exchangefore,37.5,5,5.0,78.53341102600098,109.29406166076659,75.05617141723633
exchangefore,38.5,8,8.0,70.71375846862793,114.93604421615599,71.82404398918152
exchangefore,39.5,4,4.0,54.93581295013428,116.05464220046996,67.40564107894897
exchangefore,40.5,3,3.0,89.48445320129395,89.61716651916504,81.43941561381023
exchangefore,41.5,2,2.0,87.14461326599121,88.4724473953247,87.14461326599121
exchangefore,42.5,5,5.0,61.712026596069336,89.14395332336426,61.90776824951172
exchangefore,43.5,8,8.0,74.09489154815674,111.8866491317749,75.63817501068115
exchangefore,44.5,4,4.0,72.22235202789307,131.02922677993774,79.7777771949768
exchangefore,45.5,5,5.0,104.08449172973631,135.03517150878906,99.84889030456543
exchangefore,46.5,7,7.0,79.23269271850586,102.45906829833983,68.67810658046177
exchangefore,47.5,5,5.0,63.11178207397461,108.52466583251953,67.89283752441406
exchangefore,48.5,8,8.0,88.13238143920898,100.79227209091187,80.4787278175354
exchangefore,49.5,6,6.0,98.01018238067627,121.56436443328857,92.06477801005046
exchangefore,50.5,4,4.0,84.59305763244629,101.84710264205933,86.03966236114502
exchangefore,51.5,8,8.0,97.10550308227539,203.68293762207028,101.61542892456055
exchangefore,52.5,4,4.0,41.193246841430664,142.01747894287107,64.88555669784546
exchangefore,53.5,9,9.0,96.60935401916504,113.46534729003908,86.29451857672797
exchangefore,54.5,6,6.0,54.343581199645996,99.14642572402954,60.988545417785645
exchangefore,55.5,4,4.0,82.02779293060303,95.32437086105347,80.44755458831787
exchangefore,56.5,8,8.0,110.7645034790039,197.0701789855957,124.0379810333252
exchangefore,57.5,1,1.0,79.50520515441895,79.50520515441895,79.50520515441895
exchangefore,58.5,3,3.0,58.141231536865234,101.81372642517088,67.29165712992351
exchangefore,59.5,5,5.0,80.26266098022461,96.5498733520508,79.67729568481445
exchangefore,60.5,7,7.0,69.72217559814453,113.67081642150877,70.19656045096261
exchangefore,61.5,3,3.0,128.22628021240234,133.7836503982544,114.63658014933269
exchangefore,62.5,5,5.0,81.37631416320801,119.70581054687501,82.53850936889648
exchangefore,63.5,7,7.0,90.8071994781494,148.53579521179196,92.83815111432757
exchangefore,64.5,9,9.0,67.48366355895996,84.23232078552246,63.14018037584093
exchangefore,65.5,8,8.0,62.70945072174072,73.00915718078613,60.355693101882935
exchangefore,66.5,5,5.0,84.8243236541748,131.67107582092285,96.14787101745605
exchangefore,67.5,4,4.0,73.33958148956299,112.86625385284424,75.29652118682861
exchangefore,68.5,6,6.0,75.76489448547363,94.68579292297363,71.6015895207723
exchangefore,69.5,9,9.0,75.58822631835938,133.97814750671384,73.93699222140842
exchangefore,70.5,2,2.0,74.86093044281006,95.78208684921265,74.86093044281006
exchangefore,71.5,9,9.0,88.37199211120605,114.2927646636963,81.7598236931695
exchangefore,72.5,1,1.0,74.56064224243164,74.56064224243164,74.56064224243164
exchangefore,73.5,6,6.0,95.34180164337158,132.5461506843567,104.78719075520833
exchangefore,74.5,9,9.0,82.05461502075195,137.5820255279541,86.95202403598361
exchangefore,75.5,6,6.0,94.49398517608643,134.37950611114502,92.51018365224202
exchangefore,76.5,7,7.0,60.16993522644043,128.07997226715085,74.11214283534459
exchangefore,77.5,6,6.0,77.32570171356201,99.17105436325073,74.97847080230713
exchangefore,78.5,4,4.0,71.39921188354492,89.52685832977295,68.71342658996582
exchangefore,79.5,3,3.0,65.00411033630371,87.48312950134277,67.82341003417969
exchangefore,80.5,1,1.0,104.55107688903809,104.55107688903809,104.55107688903809
exchangefore,81.5,5,5.0,47.10721969604492,66.4975643157959,49.98941421508789
exchangefore,82.5,8,8.0,78.61471176147461,137.9061508178711,91.0126268863678
exchangefore,83.5,3,3.0,73.39906692504883,74.10235404968262,69.88732020060222
exchangefore,84.5,8,8.0,86.87305450439453,127.45083570480347,93.53414177894592
exchangefore,85.5,3,3.0,79.12969589233398,84.46790218353271,76.25182469685872
exchangefore,86.5,7,7.0,72.22962379455566,126.6184091567993,77.38631112234933
exchangefore,87.5,7,7.0,95.99757194519044,127.84214496612547,81.48084368024554
exchangefore,88.5,9,9.0,105.49640655517578,148.6716079711914,96.12356291876898
exchangefore,89.5,5,5.0,85.6635570526123,98.34578514099121,71.41427993774414
exchangefore,90.5,3,3.0,109.68875885009766,137.4564504623413,101.42040252685547
exchangefore,91.5,4,4.0,58.63940715789795,79.34665441513062,59.80658531188965
exchangefore,92.5,7,7.0,82.27920532226562,100.0625467300415,73.69875907897949
exchangefore,93.5,1,1.0,51.00560188293457,51.00560188293457,51.00560188293457
exchangefore,94.5,6,6.0,63.901662826538086,80.24106025695801,63.05317083994547
exchangefore,95.5,5,5.0,77.11148262023926,104.51703071594238,72.2775936126709
exchangefore,96.5,11,11.0,83.27651023864746,129.21442985534668,78.01383191888982
exchangefore,97.5,2,2.0,102.24950313568115,104.1120457649231,102.24950313568115
exchangefore,98.5,5,5.0,43.15519332885742,65.02043724060059,46.9386100769043
exchangefore,99.5,4,4.0,86.77029609680176,126.42103910446168,91.9376015663147
exchangefore,100.5,2,2.0,51.34081840515137,51.46769046783448,51.34081840515137
exchangefore,101.5,6,6.0,77.69417762756348,107.69184827804565,77.67721017201741
exchangefore,102.5,3,3.0,71.34556770324707,106.65946006774904,73.49936167399089
exchangefore,103.5,3,3.0,66.0707950592041,67.39722728729248,58.04316202799479
exchangefore,104.5,2,2.0,82.63123035430908,85.38841962814331,82.63123035430908
exchangefore,105.5,3,3.0,86.15875244140625,89.76911544799805,84.81637636820476
exchangefore,106.5,7,7.0,100.86703300476074,135.39960384368896,90.25277410234723
exchangefore,107.5,4,4.0,59.68451499938965,72.85621881484985,58.579206466674805
exchangefore,108.5,7,7.0,93.82772445678712,135.50576686859128,95.57110922677177
exchangefore,109.5,8,8.0,102.9423475265503,151.51761531829834,98.97094964981079
