task,device,t_center,count,throughput_rps,p50_ms,p99_ms
exchangefore,192.168.245.193:8000,0.5,6,6.0,62.58344650268555,117.57938861846924
exchangefore,192.168.245.193:8000,1.5,5,5.0,69.26321983337402,74.69575881958008
exchangefore,192.168.245.193:8000,2.5,5,5.0,55.71627616882324,76.03452682495117
exchangefore,192.168.245.193:8000,3.5,2,2.0,72.46613502502441,95.06548404693604
exchangefore,192.168.245.193:8000,4.5,5,5.0,94.93494033813477,112.34624862670898
exchangefore,192.168.245.193:8000,5.5,3,3.0,61.60378456115723,70.12804508209229
exchangefore,192.168.245.193:8000,6.5,8,8.0,43.677568435668945,74.47446584701538
exchangefore,192.168.245.193:8000,7.5,6,6.0,44.52061653137207,73.58396053314209
exchangefore,192.168.245.193:8000,8.5,1,1.0,85.54697036743164,85.54697036743164
exchangefore,192.168.245.193:8000,9.5,5,5.0,43.083906173706055,48.0647087097168
exchangefore,192.168.245.193:8000,10.5,6,6.0,43.64752769470215,66.04957580566406
exchangefore,192.168.245.193:8000,11.5,3,3.0,68.53771209716797,79.29964065551758
exchangefore,192.168.245.193:8000,12.5,9,9.0,68.04585456848145,91.72427177429199
exchangefore,192.168.245.193:8000,13.5,8,8.0,49.43239688873291,85.75450420379639
exchangefore,192.168.245.193:8000,14.5,2,2.0,69.66304779052734,78.0496883392334
exchangefore,192.168.245.193:8000,15.5,3,3.0,118.06440353393556,121.4696216583252
exchangefore,192.168.245.193:8000,16.5,11,11.0,43.34759712219238,76.47523880004883
exchangefore,192.168.245.193:8000,17.5,3,3.0,41.199684143066406,41.95133686065674
exchangefore,192.168.245.193:8000,18.5,12,12.0,84.55336093902588,111.86566591262816
exchangefore,192.168.245.193:8000,19.5,8,8.0,68.49706172943115,118.39850425720215
exchangefore,192.168.245.193:8000,20.5,15,15.0,60.52875518798828,85.0818681716919
exchangefore,192.168.245.193:8000,21.5,11,11.0,43.09272766113281,76.4108419418335
exchangefore,192.168.245.193:8000,22.5,5,5.0,47.80173301696777,74.04186248779297
exchangefore,192.168.245.193:8000,23.5,11,11.0,44.96550559997559,74.18713569641113
exchangefore,192.168.245.193:8000,24.5,6,6.0,43.39718818664551,61.716341972351074
exchangefore,192.168.245.193:8000,25.5,2,2.0,82.15475082397461,120.95820903778076
exchangefore,192.168.245.193:8000,26.5,3,3.0,51.8343448638916,73.95073890686035
exchangefore,192.168.245.193:8000,27.5,8,8.0,45.604705810546875,83.77403020858765
exchangefore,192.168.245.193:8000,28.5,3,3.0,50.145626068115234,60.53418159484863
exchangefore,192.168.245.193:8000,29.5,4,4.0,68.42005252838135,100.91723203659056
exchangefore,192.168.245.193:8000,30.5,6,6.0,90.35587310791016,116.17273092269896
exchangefore,192.168.245.193:8000,31.5,3,3.0,72.81494140625,73.14368724822998
exchangefore,192.168.245.193:8000,32.5,6,6.0,68.19069385528564,99.29605722427367
exchangefore,192.168.245.193:8000,33.5,5,5.0,75.77013969421387,93.10750961303712
exchangefore,192.168.245.193:8000,34.5,6,6.0,96.73821926116943,145.4262137413025
exchangefore,192.168.245.193:8000,35.5,7,7.0,84.44929122924805,109.06767845153807
exchangefore,192.168.245.193:8000,36.5,6,6.0,64.01622295379639,96.4967131614685
exchangefore,192.168.245.193:8000,37.5,5,5.0,78.53341102600098,109.29406166076659
exchangefore,192.168.245.193:8000,38.5,8,8.0,70.71375846862793,114.93604421615599
exchangefore,192.168.245.193:8000,39.5,4,4.0,54.93581295013428,116.05464220046996
exchangefore,192.168.245.193:8000,40.5,3,3.0,89.48445320129395,89.61716651916504
exchangefore,192.168.245.193:8000,41.5,2,2.0,87.14461326599121,88.4724473953247
exchangefore,192.168.245.193:8000,42.5,5,5.0,61.712026596069336,89.14395332336426
exchangefore,192.168.245.193:8000,43.5,8,8.0,74.09489154815674,111.8866491317749
exchangefore,192.168.245.193:8000,44.5,4,4.0,72.22235202789307,131.02922677993774
exchangefore,192.168.245.193:8000,45.5,5,5.0,104.08449172973631,135.03517150878906
exchangefore,192.168.245.193:8000,46.5,7,7.0,79.23269271850586,102.45906829833983
exchangefore,192.168.245.193:8000,47.5,5,5.0,63.11178207397461,108.52466583251953
exchangefore,192.168.245.193:8000,48.5,8,8.0,88.13238143920898,100.79227209091187
exchangefore,192.168.245.193:8000,49.5,6,6.0,98.01018238067627,121.56436443328857
exchangefore,192.168.245.193:8000,50.5,4,4.0,84.59305763244629,101.84710264205933
exchangefore,192.168.245.193:8000,51.5,8,8.0,97.10550308227539,203.68293762207028
exchangefore,192.168.245.193:8000,52.5,4,4.0,41.193246841430664,142.01747894287107
exchangefore,192.168.245.193:8000,53.5,9,9.0,96.60935401916504,113.46534729003908
exchangefore,192.168.245.193:8000,54.5,6,6.0,54.343581199645996,99.14642572402954
exchangefore,192.168.245.193:8000,55.5,4,4.0,82.02779293060303,95.32437086105347
exchangefore,192.168.245.193:8000,56.5,8,8.0,110.7645034790039,197.0701789855957
exchangefore,192.168.245.193:8000,57.5,1,1.0,79.50520515441895,79.50520515441895
exchangefore,192.168.245.193:8000,58.5,3,3.0,58.141231536865234,101.81372642517088
exchangefore,192.168.245.193:8000,59.5,5,5.0,80.26266098022461,96.5498733520508
exchangefore,192.168.245.193:8000,60.5,7,7.0,69.72217559814453,113.67081642150877
exchangefore,192.168.245.193:8000,61.5,3,3.0,128.22628021240234,133.7836503982544
exchangefore,192.168.245.193:8000,62.5,5,5.0,81.37631416320801,119.70581054687501
exchangefore,192.168.245.193:8000,63.5,7,7.0,90.8071994781494,148.53579521179196
exchangefore,192.168.245.193:8000,64.5,9,9.0,67.48366355895996,84.23232078552246
exchangefore,192.168.245.193:8000,65.5,8,8.0,62.70945072174072,73.00915718078613
exchangefore,192.168.245.193:8000,66.5,5,5.0,84.8243236541748,131.67107582092285
exchangefore,192.168.245.193:8000,67.5,4,4.0,73.33958148956299,112.86625385284424
exchangefore,192.168.245.193:8000,68.5,6,6.0,75.76489448547363,94.68579292297363
exchangefore,192.168.245.193:8000,69.5,9,9.0,75.58822631835938,133.97814750671384
exchangefore,192.168.245.193:8000,70.5,2,2.0,74.86093044281006,95.78208684921265
exchangefore,192.168.245.193:8000,71.5,9,9.0,88.37199211120605,114.2927646636963
