backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),Change1 (MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),Change2 (MB),inference mem peak(MB),inference energy(mJ)
momentlarge,mlp,,,PPG-data,A100,diasbp,mae,10.130713113924353,1461.95456,1462.480384,0.525824,121734.7813,2613.989888,43894.734,29.31679367437595,1514.385283121951,51.90489912,9.987219512195123
momentbase,mlp,,,PPG-data,A100,diasbp,mae,10.261294667313738,474.97984,475.374592,0.394752,36996.02344,1311.500288,14042.174,10.987735399385778,500.9509401,25.5763481,3.490682926829268
momentsmall,mlp,,,PPG-data,A100,diasbp,mae,9.825925315298685,168.875008,169.138688,0.26368,10243.28027,625.839616,3517.97,5.460299771006515,182.8858130731707,13.74712507,1.6415121951219511
chronostiny,mlp,,,PPG-data,A100,diasbp,mae,10.184217499523628,33.828864,33.961472,0.132608,6012.978027,1399.789056,1384.4,3.6235691686955893,76.74055804878049,42.77908605,0
chronosmini,mlp,,,PPG-data,A100,diasbp,mae,10.111460057700553,57.957376,58.15552,0.198144,11863.06738,2751.832064,2823.319,3.7730481857206764,143.74035356097562,85.58483356,0.3041463414634146
chronossmall,mlp,,,PPG-data,A100,diasbp,mae,10.153915219190644,109.34784,109.61152,0.26368,18751.78711,2841.2416,4639.92,4.974087017338451,196.43589307317072,86.82437307,1.2970487804878048
chronosbase,mlp,,,PPG-data,A100,diasbp,mae,10.027816028129763,436.435968,436.83072,0.394752,46370.27344,4530.082304,14041.017,10.584937467807677,565.1219481,128.2912281,3.0450731707317074
chronoslarge,mlp,,,PPG-data,A100,diasbp,mae,10.09059459407155,1434.966016,1435.49184,0.525824,115069.7656,6894.023168,39407.608,23.722202440587484,1607.5815711219511,172.0897311,7.339634146341464
papageis,mlp,,,PPG-data,A100,diasbp,mae,9.840438191,40.282112,40.545792,0.26368,3916.729248046875,641.048576,551.577,7.271858727059713,97.50651629268293,56.96072429,1.2530731707317073
papageip,mlp,,,PPG-data,A100,diasbp,mae,9.506230610172922,37.107712,37.371392,0.26368,3485.112305,637.874176,503.384,5.487964885990794,94.33211629268293,56.96072429,0.4666585365853659
papageissvri,mlp,,,PPG-data,A100,diasbp,mae,10.89623167,37.107712,37.371392,0.26368,3500.937255859375,637.874176,508.916,5.666668484850628,94.33211629268293,56.96072429,0.2350487804878049
momentlarge,mlp,,,PPG-data,A100,sysbp,mae,17.58566693561833,1450.15808,1450.683904,0.525824,121508.7578,2584.105472,43963.565,29.37017059326172,1486.097283121951,35.41337912,8.632292683
momentbase,mlp,,,PPG-data,A100,sysbp,mae,17.357960026438644,472.882688,473.27744,0.394752,36993.375,1308.35456,14046.098,10.993293994810523,500.5577241,27.2802841,4.102731707317074
