regime,condition,successful_trials,capacity_mean,capacity_std,capacity_ci95_low,capacity_ci95_high,min_capacity,max_capacity,censored_trials
low,fmaas,5,1761.2,45.762430005409456,1721.0874615113928,1801.3125384886073,1703.0,1826.0,0
low,no_sharing,5,312.8,14.771594362153328,299.85212666110766,325.74787333889236,297.0,337.0,0
medium,fmaas,5,171.8,9.257429448826493,163.6855053145621,179.91449468543792,165.0,187.0,0
medium,no_sharing,5,171.6,9.44986772394196,163.31682572922674,179.88317427077325,164.0,187.0,0
high,fmaas,5,32.6,5.504543577809153,27.775054818964264,37.42494518103574,25.0,38.0,0
high,no_sharing,5,32.6,5.504543577809153,27.775054818964264,37.42494518103574,25.0,38.0,0
