task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,stfq,4114,24.2,62785.653,64782.331,122138.384,128048.55,26.183,24.1,0.002,0.564,62758.204,0.0,62759.47
gestureclass,stfq,10170,59.8235,133151.643,163881.727,210106.049,214419.203,27.442,24.401,0.002,0.549,133123.425,0.0,133124.201
