elapsed_s,allocated_mb,reserved_mb
0.00,408.6,422.0
0.50,417.6,476.0
1.00,417.6,476.0
1.50,418.9,476.0
2.00,417.6,476.0
2.50,418.4,476.0
3.00,418.4,476.0
3.50,416.1,476.0
4.00,420.6,476.0
4.50,418.4,476.0
5.00,420.6,476.0
5.50,419.1,476.0
6.01,420.6,476.0
6.51,419.1,476.0
7.01,432.7,476.0
7.51,431.9,476.0
8.01,425.2,476.0
8.51,420.4,476.0
9.01,423.6,476.0
9.51,418.1,476.0
10.01,419.6,476.0
10.51,421.4,476.0
11.01,417.6,476.0
11.51,425.2,476.0
12.01,416.9,476.0
12.51,418.4,476.0
13.01,410.9,476.0
13.51,409.3,476.0
14.01,409.3,476.0
14.51,409.3,476.0
15.01,409.3,476.0
15.51,409.3,476.0
16.01,409.3,476.0
16.51,409.3,476.0
17.01,409.3,476.0
17.51,409.3,476.0
18.02,432.7,476.0
18.52,428.7,476.0
19.02,418.1,476.0
19.52,419.6,476.0
20.02,431.9,476.0
20.52,431.9,476.0
21.02,417.6,476.0
21.52,420.6,476.0
22.02,417.6,476.0
22.52,431.9,476.0
23.02,418.9,476.0
23.52,417.6,476.0
24.02,432.7,476.0
24.52,418.9,476.0
25.02,432.7,476.0
25.52,419.1,476.0
26.02,449.3,476.0
26.52,418.1,476.0
27.02,426.1,476.0
27.52,418.4,476.0
28.02,408.6,476.0
28.52,408.6,476.0
29.03,409.3,476.0
29.53,409.3,476.0
30.03,409.3,476.0
30.53,409.3,476.0
31.03,409.3,476.0
31.53,409.3,476.0
32.03,409.3,476.0
32.53,409.3,476.0
33.03,409.3,476.0
33.53,409.3,476.0
34.03,409.3,476.0
34.53,409.3,476.0
35.03,409.3,476.0
35.53,409.3,476.0
36.03,409.3,476.0
36.53,409.3,476.0
37.03,409.3,476.0
37.53,409.3,476.0
38.03,409.3,476.0
38.53,409.3,476.0
39.03,409.3,476.0
39.54,409.3,476.0
40.04,409.3,476.0
40.54,409.3,476.0
41.04,409.3,476.0
41.54,409.3,476.0
42.04,409.3,476.0
42.54,409.3,476.0
43.04,409.3,476.0
43.54,409.3,476.0
44.04,409.3,476.0
44.54,409.3,476.0
45.04,409.3,476.0
45.54,409.3,476.0
46.04,409.3,476.0
46.54,409.3,476.0
47.04,409.3,476.0
47.54,409.3,476.0
48.04,409.3,476.0
48.54,409.3,476.0
49.04,409.3,476.0
49.54,409.3,476.0
50.04,409.3,476.0
50.54,409.3,476.0
51.04,409.3,476.0
51.55,409.3,476.0
52.05,409.3,476.0
52.55,409.3,476.0
53.05,409.3,476.0
53.55,409.3,476.0
54.05,409.3,476.0
54.55,409.3,476.0
55.05,409.3,476.0
55.55,409.3,476.0
56.05,409.3,476.0
56.55,409.3,476.0
57.05,409.3,476.0
57.55,409.3,476.0
58.05,409.3,476.0
58.55,409.3,476.0
59.05,409.3,476.0
59.55,409.3,476.0
