task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,sharing,5993,10.1576,23597.706,20457.71,50558.794,54190.105,375.982,367.094,0.002,1.226,23219.47,0.0,23221.724
gestureclass,sharing,5951,10.0864,27423.39,27785.193,49477.419,50124.667,376.076,367.099,0.002,1.224,27045.057,0.0,27047.314
heartrate,sharing,5925,10.0424,26198.49,27670.043,45676.658,47103.376,376.178,367.063,0.002,1.202,25820.04,0.0,25822.312
diasbp,sharing,5933,10.0559,25296.372,23998.323,46744.172,47837.026,376.138,367.062,0.002,1.189,24917.97,0.0,24920.234
sysbp,sharing,2171,3.6797,28641.676,26713.556,55724.694,58759.322,375.4,367.383,0.002,1.437,28264.185,0.0,28266.276
etth1fore,sharing,3286,5.5695,30850.322,31210.826,57582.285,58924.681,374.524,367.14,0.002,1.189,30473.465,0.0,30475.799
weatherfore,sharing,2145,3.6356,32037.795,32182.176,58623.962,59732.075,374.363,367.336,0.002,1.201,31661.211,0.0,31663.432
trafficfore,sharing,2044,3.4644,32296.284,32959.429,56610.184,59503.463,374.313,367.347,0.002,1.194,31919.647,0.0,31921.972
eclfore,sharing,2154,3.6508,30377.893,28647.815,56516.975,58821.793,374.402,367.383,0.002,1.201,30001.265,0.0,30003.491
exchangefore,sharing,2125,3.6017,30929.227,30726.895,56115.031,59178.466,374.254,367.334,0.002,1.185,30552.689,0.0,30554.973
