task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,5147,30.2765,18.82,15.811,40.503,57.51
gestureclass,no_sharing,5141,30.2412,18.588,15.78,39.674,56.521
