task,device_url,n_requests,throughput_rps,avg_latency_ms,error
conll2003,local://instance-0,520,8.666666666666666,115.43332017385043,
ag_news,local://instance-0,520,8.666666666666666,115.44990081053514,
cnn_dailymail,local://instance-0,520,8.666666666666666,115.43298638783969,
squad,local://instance-0,520,8.666666666666666,115.43458929428688,
gsm8k,local://instance-0,520,8.666666666666666,115.43319087762099,
sst2,local://instance-0,520,8.666666666666666,115.45178294181824,
humaneval,local://instance-0,520,8.666666666666666,115.43214183587294,
hellaswag,local://instance-0,520,8.666666666666666,115.43275484671959,
fever,local://instance-0,520,8.666666666666666,115.43324956527123,
flores,local://instance-0,520,8.666666666666666,115.43144950499901,
